n   	r1  	r2  	y   	hy  	ec  	qs02 	c2  	g   
399	3e-06	60.0	10.0	0.1	1.0	0.0961	1.245	1.001
y	r	N(r,Y)
0.0	2.9999999999999997e-06	2.9736213491560193e-12
0.0	3.1291009577556375e-06	3.2257529980483923e-12
0.0	3.2637576012757556e-06	3.499089906711106e-12
0.0	3.4042090120114036e-06	3.795630476588485e-12
0.0	3.550704559961752e-06	4.117262086822393e-12
0.0	3.703504346427883e-06	4.46620518346208e-12
0.0	3.862879665819886e-06	4.844569190254333e-12
0.0	4.029113487337261e-06	5.254907620155791e-12
0.0	4.202500957377734e-06	5.699996030728016e-12
0.0	4.3833499235665515e-06	6.182721001835034e-12
0.0	4.5719814813367325e-06	6.706302180248258e-12
0.0	4.768730544030612e-06	7.274070235041563e-12
0.0	4.973946437534918e-06	7.889910946801137e-12
0.0	5.187993520505251e-06	8.557821118415632e-12
0.0	5.411251831281018e-06	9.282130619681084e-12
0.0	5.644117762639461e-06	1.0067613409603382e-11
0.0	5.887004765586915e-06	1.0919487536398265e-11
0.0	6.140344083436685e-06	1.184341513749132e-11
0.0	6.404585517476965e-06	1.2845280394913061e-11
0.0	6.680198225588353e-06	1.3931855669113702e-11
0.0	6.967671555228688e-06	1.511013536514838e-11
0.0	7.267515912264268e-06	1.6387891044189473e-11
0.0	7.580263667190167e-06	1.777356040122413e-11
0.0	7.906470100348338e-06	1.9276136242751818e-11
0.0	8.2467143878221e-06	2.0905499553691698e-11
0.0	8.601600629757127e-06	2.2672419497382634e-11
0.0	8.97175892293484e-06	2.458844239328073e-11
0.0	9.3578464795027e-06	2.6666113761564247e-11
0.0	9.760548793847392e-06	2.8918978323133615e-11
0.0	1.0180580859682836e-05	3.136191306651881e-11
0.0	1.0618688439514093e-05	3.401079418097197e-11
0.0	1.1075649388730775e-05	3.688294114567725e-11
0.0	1.1552275036681039e-05	3.999733877435574e-11
0.0	1.2049411627178395e-05	4.3374193126055616e-11
0.0	1.2567941820998635e-05	4.703570866126938e-11
0.0	1.3108786263034654e-05	5.1005644152724017e-11
0.0	1.3672905216891896e-05	5.531008984149821e-11
0.0	1.4261300269826188e-05	5.997713437011498e-11
0.0	1.4875016111051287e-05	6.503719784944906e-11
0.0	1.551514238657371e-05	7.052336492563427e-11
0.0	1.6182815633847658e-05	7.647149580236601e-11
0.0	1.6879221299685207e-05	8.292033726320369e-11
0.0	1.760559584500481e-05	8.991207778308308e-11
0.0	1.8363228940154412e-05	9.749212548371133e-11
0.0	1.9153465754707738e-05	1.0570988528968428e-10
0.0	1.9977709345798634e-05	1.1461909199539377e-10
0.0	2.083742314923409e-05	1.2427769924272525e-10
0.0	2.1734133577809298e-05	1.3474865667717495e-10
0.0	2.2669432731437386e-05	1.461000209701524e-10
0.0	2.3644981223905912e-05	1.5840562195279517e-10
0.0	2.4662511131279353e-05	1.7174572874978367e-10
0.0	2.5723829067181817e-05	1.8620693875703864e-10
0.0	2.683081939042031e-05	2.0188328786474585e-10
0.0	2.7985447550644247e-05	2.1887680556886835e-10
0.0	2.9189763577980414e-05	2.3729762599344895e-10
0.0	3.0445905722839716e-05	2.572655422028447e-10
0.0	3.1756104252358535e-05	2.7891022824633183e-10
0.0	3.312268541021439e-05	3.0237201631422295e-10
0.0	3.454807554684684e-05	3.2780322900549663e-10
0.0	3.603480542741753e-05	3.553687344393097e-10
0.0	3.758551472515682e-05	3.852471675003244e-10
0.0	3.920295670807561e-05	4.1763226210633775e-10
0.0	4.0890003127364066e-05	4.5273385040900394e-10
0.0	4.2649649316155386e-05	4.907789730168588e-10
0.0	4.448501950770797e-05	5.320140994413691e-10
0.0	4.639937238244908e-05	5.767059052530499e-10
0.0	4.839610685372739e-05	6.251436035498159e-10
0.0	5.047876810254753e-05	6.776402772246115e-10
0.0	5.265105387200207e-05	7.345350994114597e-10
0.0	5.491682103257522e-05	7.961957759761162e-10
0.0	5.7280092429975356e-05	8.630205439175143e-10
0.0	5.974506402765579e-05	9.354405028361157e-10
0.0	6.231611235670332e-05	1.0139230566252877e-09
0.0	6.499780228632277e-05	1.0989745780065618e-09
0.0	6.779489512871472e-05	1.191143073064893e-09
0.0	7.071235709273488e-05	1.2910228441853633e-09
0.0	7.375536810134513e-05	1.3992570435661378e-09
0.0	7.692933098851289e-05	1.5165426692220763e-09
0.0	8.023988109188553e-05	1.6436346728099238e-09
0.0	8.369289625827251e-05	1.7813506225650144e-09
0.0	8.729450727970124e-05	1.9305761433940916e-09
0.0	9.10511087785734e-05	2.092270356968129e-09
0.0	9.496937056124893e-05	2.267472321015873e-09
0.0	9.905624946021803e-05	2.457307024528177e-09
0.0	0.00010331900168588338	2.6629931593191714e-09
0.0	0.0001077651957098847	2.8858505585205307e-09
0.0	0.00011240272570284132	3.1273083012095526e-09
0.0	0.00011723982555036855	3.3889144823717743e-09
0.0	0.00012228508347225406	3.67234509468517e-09
0.0	0.00012754745727075275	3.9794155748396065e-09
0.0	0.00013303629023506981	4.3120914616778805e-09
0.0	0.00013876132773027133	4.672501496827408e-09
0.0	0.00014473273450007866	5.062950392265009e-09
0.0	0.00015096111271426313	5.485934151394645e-09
0.0	0.00015745752079268587	5.944155168080556e-09
0.0	0.0001642334930394072	6.440539657148747e-09
0.0	0.0001713010601217213	6.978255751022289e-09
0.0	0.0001786727704304784	7.56073392782497e-09
0.0	0.00018636171235962071	8.191687994596464e-09
0.0	0.00019438153754449032	8.875139179131963e-09
0.0	0.00020274648510015974	9.615440776933326e-09
0.0	0.00021147140690283263	1.0417305684740086e-08
0.0	0.00022057179395919564	1.1285836265528815e-08
0.0	0.0002300638039105332	1.222655576782472e-08
0.0	0.00023996428972045155	1.324544363079383e-08
0.0	0.0002502908295971388	1.4348972565692009e-08
0.0	0.0002610617582032872	1.554414885696076e-08
0.0	0.0002722961992090922	1.6838556882170508e-08
0.0	0.00028401409924613016	1.8240405741387633e-08
0.0	0.00029623626332239076	1.9758581215612026e-08
0.0	0.0003089843917613481	2.1402700722816803e-08
0.0	0.00032228111873065915	2.318317371408085e-08
0.0	0.00033615005242888834	2.5111266177546554e-08
0.0	0.00035061581700161445	2.7199171026559554e-08
0.0	0.0003657040962613424	2.9460084149945942e-08
0.0	0.0003814416792888425	3.1908286124426866e-08
0.0	0.000397856507996879	3.455923125450511e-08
0.0	0.0004149777267407826	3.742964349573441e-08
0.0	0.0004328357340639471	4.053762003852768e-08
0.0	0.00045146223667012086	4.390274355170476e-08
0.0	0.0004708903057183259	4.7546203973958256e-08
0.0	0.0004911544355403534	5.149092874301431e-08
0.0	0.0005122906048850836	5.576172568133586e-08
0.0	0.0005343363407983772	6.038543531872165e-08
0.0	0.0005573307852519483	6.539109753678218e-08
0.0	0.000581314764639525	7.081012998177982e-08
0.0	0.0006063308622636774	7.667652190956886e-08
0.0	0.000632423493942025	8.302704390672488e-08
0.0	0.000659638986867053	8.990147370990798e-08
0.0	0.000688025661859552	9.734284078799504e-08
0.0	0.000717633919161727	1.053976910192489e-07
0.0	0.0007485163279222979	1.1411637168556865e-07
0.0	0.0007807277195324659	1.235533408916467e-07
0.0	0.0008143252849784713	1.3376750052085384e-07
0.0	0.00084936867638359	1.4482255683567757e-07
0.0	0.000885920112919844	1.5678741016600384e-07
0.0	0.0009240444912774898	1.697365754615987e-07
0.0	0.0009638095008884048	1.8375063726150387e-07
0.0	0.0010052857441079646	1.9891674041261354e-07
0.0	0.0010485468615687745	2.153291212003694e-07
0.0	0.0010936696629288403	2.3308968022384136e-07
0.0	0.0011407342632463076	2.5230860190017523e-07
0.0	0.0011898242252228988	2.7310502348498744e-07
0.0	0.0012410267075686108	2.956077568283533e-07
0.0	0.0012944326197510897	3.1995606941670474e-07
0.0	0.001350136783404426	3.463005268100616e-07
0.0	0.0014082381006839686	3.748039026918448e-07
0.0	0.0014688397298660634	4.056421615272754e-07
0.0	0.0015320492685044786	4.390055199365861e-07
0.0	0.0015979789444687295	4.7509959266722745e-07
0.0	0.0016667458152034831	5.141466293823171e-07
0.0	0.0017384719755628084	5.563868508140501e-07
0.0	0.0018132847745883065	6.020798903882962e-07
0.0	0.001891317041615997	6.515063510903474e-07
0.0	0.001972707322113394	7.049694855654209e-07
0.0	0.0020576001236655285	7.627970102230819e-07
0.0	0.0021461461725466413	8.253430624494129e-07
0.0	0.0022385026813330996	8.929903134724526e-07
0.0	0.002334833628032657	9.661522483161988e-07
0.0	0.002435310047225686	1.0452756261658536e-06
0.0	0.0025401103337352763	1.130843135355164e-06
0.0	0.002649420559365351	1.2233762579638707e-06
0.0	0.0027634348032691994	1.3234383601234967e-06
0.0	0.002882355496534974	1.4316380264611794e-06
0.0	0.0030063937815999406	1.5486326567781816e-06
0.0	0.0031357698871316564	1.6751323460573175e-06
0.0	0.0032707135190416545	1.8119040692265997e-06
0.0	0.003411464268325854	1.959776194437879e-06
0.0	0.0035582720364558586	2.1196433510617396e-06
0.0	0.003711397479076377	2.2924716784888943e-06
0.0	0.0038711124687965874	2.4793044861581848e-06
0.0	0.004037700577897068	2.6812683568966378e-06
0.0	0.004211457581809403	2.899579725990087e-06
0.0	0.004392691984262353	3.1355519750642102e-06
0.0	0.004581725565026951	3.3906030778574348e-06
0.0	0.004778893951233108	3.6662638425166705e-06
0.0	0.004984547213272052	3.964186794491731e-06
0.0	0.005199050486342596	4.286155749877452e-06
0.0	0.0054227846187448435	4.63409613227217e-06
0.0	0.005656146848072349	5.010086088885757e-06
0.0	0.005899551506503246	5.416368467736632e-06
0.0	0.006153430756442674	5.855363721773976e-06
0.0	0.006418235357822596	6.329683809203068e-06
0.0	0.006694435468421267	6.842147166952195e-06
0.0	0.006982521478623434	7.395794837661285e-06
0.0	0.007283004882103306	7.993907838343972e-06
0.0	0.007596419183976154	8.64002586364876e-06
0.0	0.007923320848031035	9.337967425859794e-06
0.0	0.008264290284726375	1.0091851538218677e-05
0.0	0.008619932881702645	1.0906121058473772e-05
0.0	0.008990880078641688	1.1785567818112241e-05
0.0	0.00937779048838128	1.2735359669835411e-05
0.0	0.009781351066275193	1.3761069597384434e-05
0.0	0.010202278329875279	1.4868707042592355e-05
0.0	0.010641319631100793	1.606475161353149e-05
0.0	0.011099254483153787	1.7356189352280005e-05
0.0	0.011576895944536692	1.875055175326601e-05
0.0	0.012075092062629062	2.0255957733472663e-05
0.0	0.012594727379386701	2.1881158776992926e-05
0.0	0.013136724501836693	2.3635587485304477e-05
0.0	0.013702045740156408	2.552940978695073e-05
