y	r	N(r,Y)
0.0	1.0000000000000004e-06	1.354472090042691e-14
0.0	1.0471285480508998e-06	1.4876988529977098e-14
0.0	1.096478196143185e-06	1.6542323066914832e-14
0.0	1.1481536214968827e-06	1.8207657603852567e-14
0.0	1.2022644346174125e-06	2.020605904817785e-14
0.0	1.2589254117941689e-06	2.2315482794965646e-14
0.0	1.3182567385564087e-06	2.475797344914099e-14
0.0	1.3803842646028861e-06	2.731148640577885e-14
0.0	1.4454397707459286e-06	3.019806626980426e-14
0.0	1.5135612484362089e-06	3.341771304121721e-14
0.0	1.584893192461114e-06	3.697042672001771e-14
0.0	1.659586907437561e-06	4.0967229608668276e-14
0.0	1.7378008287493755e-06	4.529709940470639e-14
0.0	1.819700858609983e-06	5.007105841059456e-14
0.0	1.9054607179632498e-06	5.540012892879531e-14
0.0	1.995262314968882e-06	6.128431095930864e-14
0.0	2.0892961308540415e-06	6.772360450213455e-14
0.0	2.1877616239495543e-06	7.494005416219807e-14
0.0	2.2908676527677743e-06	8.293365993949919e-14
0.0	2.3988329190194914e-06	9.170442183403793e-14
0.0	2.5118864315095806e-06	1.0147438445073931e-13
0.0	2.630267991895382e-06	1.1213252548714081e-13
0.0	2.754228703338166e-06	1.241229341530925e-13
0.0	2.884031503126605e-06	1.3722356584366935e-13
0.0	3.0199517204020197e-06	1.517674874662589e-13
0.0	3.1622776601683826e-06	1.6786572132332367e-13
0.0	3.3113112148259136e-06	1.8562928971732617e-13
0.0	3.4673685045253185e-06	2.0528023725319144e-13
0.0	3.630780547701015e-06	2.270406085358445e-13
0.0	3.801893963205613e-06	2.511324481702104e-13
0.0	3.9810717055349725e-06	2.7766677845875165e-13
0.0	4.168693834703353e-06	3.070876886113183e-13
0.0	4.365158322401666e-06	3.396172232328354e-13
0.0	4.570881896148756e-06	3.7558844923069046e-13
0.0	4.7863009232263885e-06	4.1533443351227106e-13
0.0	5.0118723362727275e-06	4.592992652874273e-13
0.0	5.24807460249773e-06	5.079270337660091e-13
0.0	5.4954087385762485e-06	5.616618281578667e-13
0.0	5.754399373371571e-06	6.210587599753126e-13
0.0	6.025595860743578e-06	6.867839630331218e-13
0.0	6.309573444801932e-06	7.593925488436071e-13
0.0	6.6069344800759585e-06	8.397726958264684e-13
0.0	6.918309709189374e-06	9.284795154940184e-13
0.0	7.244359600749909e-06	1.0267342531733448e-12
0.0	7.585775750291845e-06	1.135314064981685e-12
0.0	7.943282347242822e-06	1.2553291739436645e-12
0.0	8.317637711026714e-06	1.3880008253863707e-12
0.0	8.709635899560809e-06	1.5346612869393539e-12
0.0	9.1201083935591e-06	1.6968648708370893e-12
0.0	9.549925860214359e-06	1.876165889314052e-12
0.0	1.0000000000000016e-05	2.0743406992096425e-12
0.0	1.0471285480509009e-05	2.2934987242706484e-12
0.0	1.0964781961431864e-05	2.535638365941395e-12
0.0	1.148153621496884e-05	2.8034241594809828e-12
0.0	1.2022644346174139e-05	3.099520640148512e-12
0.0	1.258925411794168e-05	3.4267033655055457e-12
0.0	1.3182567385564076e-05	3.788414026928422e-12
0.0	1.3803842646028852e-05	4.188316360398403e-12
0.0	1.4454397707459275e-05	4.630296146501678e-12
0.0	1.513561248436208e-05	5.118905299639209e-12
0.0	1.584893192461113e-05	5.658917778816885e-12
0.0	1.659586907437563e-05	6.255884699157832e-12
0.0	1.7378008287493774e-05	6.915690242692563e-12
0.0	1.819700858609985e-05	7.644995747568828e-12
0.0	1.9054607179632484e-05	8.451128685749154e-12
0.0	1.9952623149688807e-05	9.342082663010842e-12
0.0	2.0892961308540402e-05	1.0326850485853356e-11
0.0	2.187761623949553e-05	1.141531313919586e-11
0.0	2.290867652767777e-05	1.2618239786377217e-11
0.0	2.398832919019494e-05	1.3947731858365842e-11
0.0	2.5118864315095835e-05	1.5417001009154774e-11
0.0	2.6302679918953848e-05	1.704092422727399e-11
0.0	2.754228703338169e-05	1.8835599746580556e-11
0.0	2.884031503126608e-05	2.0818902157770935e-11
0.0	3.019951720402018e-05	2.3010815475288382e-11
0.0	3.16227766016838e-05	2.5432989048113086e-11
0.0	3.311311214825912e-05	2.810973676048434e-11
0.0	3.467368504525316e-05	3.1067814987295606e-11
0.0	3.6307805477010126e-05	3.433653361639699e-11
0.0	3.801893963205617e-05	3.7948533204712476e-11
0.0	3.981071705534977e-05	4.194000702284484e-11
0.0	4.168693834703358e-05	4.6350479010470735e-11
0.0	4.3651583224016634e-05	5.122391399936532e-11
0.0	4.570881896148753e-05	5.660882873570472e-11
0.0	4.786300923226385e-05	6.255884699157832e-11
0.0	5.011872336272724e-05	6.913314365419865e-11
0.0	5.2480746024977355e-05	7.639699983741366e-11
0.0	5.495408738576254e-05	8.442280208242892e-11
0.0	5.754399373371577e-05	9.329004235780758e-11
0.0	6.0255958607435847e-05	1.0308698339400735e-10
0.0	6.309573444801939e-05	1.1391076970568292e-10
0.0	6.606934480075966e-05	1.2586887088161802e-10
0.0	6.918309709189369e-05	1.390798587408426e-10
0.0	7.244359600749903e-05	1.5367485062256492e-10
0.0	7.58577575029184e-05	1.6979839756459114e-10
0.0	7.943282347242815e-05	1.8761014963786238e-10
0.0	8.317637711026709e-05	2.072867433255965e-10
0.0	8.709635899560804e-05	2.2902291174631273e-10
0.0	9.120108393559094e-05	2.53033705099881e-10
0.0	9.54992586021437e-05	2.795566000912686e-10
0.0	0.00010000000000000009	3.08853831398892e-10
0.0	0.00010471285480509003	3.412150562098759e-10
0.0	0.00010964781961431856	3.769599077330099e-10
0.0	0.00011481536214968852	4.1644132586782234e-10
0.0	0.00012022644346174153	4.6004899889595663e-10
0.0	0.00012589254117941693	5.082132492617575e-10
0.0	0.0001318256738556409	5.614090303751595e-10
0.0	0.00013803842646028868	6.201607005706933e-10
0.0	0.0001445439770745929	6.850470191110958e-10
0.0	0.00015135612484362096	7.567071413916437e-10
0.0	0.00015848931924611147	8.358463920998815e-10
0.0	0.00016595869074375615	9.232433706429788e-10
0.0	0.0001737800828749376	1.0197576116866003e-09
0.0	0.00018197008586099837	1.1263378008052882e-09
0.0	0.00019054607179632473	1.2440312113781715e-09
0.0	0.00019952623149688793	1.37399336352928e-09
