y	r	N(r,Y)
0.0	2.9999999999999997e-06	1.3278267374516872e-13
0.0	3.1291009577556375e-06	1.4577228313328305e-13
0.0	3.2637576012757556e-06	1.5987211554602254e-13
0.0	3.4042090120114036e-06	1.7541523789077473e-13
0.0	3.550704559961752e-06	1.9240165016753963e-13
0.0	3.703504346427883e-06	2.1105339698124226e-13
0.0	3.862879665819886e-06	2.3159252293680765e-13
0.0	4.029113487337261e-06	2.540190280342358e-13
0.0	4.202500957377734e-06	2.786659791809143e-13
0.0	4.3833499235665515e-06	3.057554209817681e-13
0.0	4.5719814813367325e-06	3.353983757392598e-13
0.0	4.768730544030612e-06	3.679279103607769e-13
0.0	4.973946437534918e-06	4.035660694512444e-13
0.0	5.187993520505251e-06	4.4275694222051243e-13
0.0	5.411251831281018e-06	4.856115509710435e-13
0.0	5.644117762639461e-06	5.326850072151501e-13
0.0	5.887004765586915e-06	5.843103778602199e-13
0.0	6.140344083436685e-06	6.410427744185654e-13
0.0	6.404585517476965e-06	7.031042414951116e-13
0.0	6.680198225588353e-06	7.712719352070962e-13
0.0	6.967671555228688e-06	8.459899447643693e-13
0.0	7.267515912264268e-06	9.279244039817058e-13
0.0	7.580263667190167e-06	1.0178524689763435e-12
0.0	7.906470100348338e-06	1.1164402735630574e-12
0.0	8.2467143878221e-06	1.2244649738590851e-12
0.0	8.601600629757127e-06	1.3430367928890519e-12
0.0	8.97175892293484e-06	1.4731549313751202e-12
0.0	9.3578464795027e-06	1.6157075677369903e-12
0.0	9.760548793847392e-06	1.7721379919066749e-12
0.0	1.0180580859682836e-05	1.9436674492112616e-12
0.0	1.0618688439514093e-05	2.131739229582763e-12
0.0	1.1075649388730775e-05	2.338018667558117e-12
0.0	1.1552275036681039e-05	2.564282119976724e-12
0.0	1.2049411627178395e-05	2.812305943677984e-12
0.0	1.2567941820998635e-05	3.08442160701361e-12
0.0	1.3108786263034654e-05	3.3827385337303895e-12
0.0	1.3672905216891896e-05	3.7098102367849606e-12
0.0	1.4261300269826188e-05	4.068523296041349e-12
0.0	1.4875016111051287e-05	4.461875313666042e-12
0.0	1.551514238657371e-05	4.893196958732915e-12
0.0	1.6182815633847658e-05	5.366151967223232e-12
0.0	1.6879221299685207e-05	5.884737142025642e-12
0.0	1.760559584500481e-05	6.4533933752386474e-12
0.0	1.8363228940154412e-05	7.076894625868135e-12
0.0	1.9153465754707738e-05	7.760569964432307e-12
0.0	1.9977709345798634e-05	8.510192550659212e-12
0.0	2.083742314923409e-05	9.332201678091678e-12
0.0	2.1734133577809298e-05	1.0233369707179918e-11
0.0	2.2669432731437386e-05	1.1221357176793845e-11
0.0	2.3644981223905912e-05	1.2304712804223072e-11
0.0	2.4662511131279353e-05	1.3492429395967065e-11
0.0	2.5723829067181817e-05	1.479460998154991e-11
0.0	2.683081939042031e-05	1.6222356791217862e-11
0.0	2.7985447550644247e-05	1.7787549211334408e-11
0.0	2.9189763577980414e-05	1.950350991819505e-11
0.0	3.0445905722839716e-05	2.1384782833422378e-11
0.0	3.1756104252358535e-05	2.344724414626853e-11
0.0	3.312268541021439e-05	2.5708324358220125e-11
0.0	3.454807554684684e-05	2.818700828299825e-11
0.0	3.603480542741753e-05	3.090427913576832e-11
0.0	3.758551472515682e-05	3.388311853314008e-11
0.0	3.920295670807561e-05	3.714850649316759e-11
0.0	4.0890003127364066e-05	4.072808756916402e-11
0.0	4.2649649316155386e-05	4.465205982739917e-11
0.0	4.448501950770797e-05	4.8953396891704415e-11
0.0	4.639937238244908e-05	5.366829203268253e-11
0.0	4.839610685372739e-05	5.88364912346151e-11
0.0	5.047876810254753e-05	6.450162626236988e-11
0.0	5.265105387200207e-05	7.071110363909838e-11
0.0	5.491682103257522e-05	7.751743691386537e-11
0.0	5.7280092429975356e-05	8.497758052783411e-11
0.0	5.974506402765579e-05	9.315437310419838e-11
0.0	6.231611235670332e-05	1.021165374481825e-10
0.0	6.499780228632277e-05	1.1193934668085603e-10
0.0	6.779489512871472e-05	1.2270517935064618e-10
0.0	7.071235709273488e-05	1.3450451863405988e-10
0.0	7.375536810134513e-05	1.4743628540259124e-10
0.0	7.692933098851289e-05	1.6160894844574614e-10
0.0	8.023988109188553e-05	1.7714141264946193e-10
0.0	8.369289625827251e-05	1.9416368512992221e-10
0.0	8.729450727970124e-05	2.1281865159039626e-10
0.0	9.10511087785734e-05	2.3326218734354143e-10
0.0	9.496937056124893e-05	2.5566571082435985e-10
0.0	9.905624946021803e-05	2.8021662767940825e-10
0.0	0.00010331900168588338	3.071203291682423e-10
0.0	0.0001077651957098847	3.3660163545334854e-10
0.0	0.00011240272570284132	3.6890712706849627e-10
0.0	0.00011723982555036855	4.0430669923097184e-10
0.0	0.00012228508347225406	4.430958933099305e-10
0.0	0.00012754745727075275	4.855986723839578e-10
0.0	0.00013303629023506981	5.321696416871191e-10
0.0	0.00013876132773027133	5.831973792780332e-10
0.0	0.00014473273450007866	6.391072115974339e-10
0.0	0.00015096111271426313	7.003653212933614e-10
0.0	0.00015745752079268587	7.674818558456309e-10
0.0	0.0001642334930394072	8.410158125471412e-10
0.0	0.0001713010601217213	9.215793683736706e-10
0.0	0.0001786727704304784	1.0098427649651853e-09
0.0	0.00018636171235962071	1.1065400817855675e-09
0.0	0.00019438153754449032	1.2124752313269482e-09
0.0	0.00020274648510015974	1.3285283984032503e-09
0.0	0.00021147140690283263	1.4556635896667558e-09
0.0	0.00022057179395919564	1.5949361831246733e-09
0.0	0.0002300638039105332	1.7475018099233353e-09
0.0	0.00023996428972045155	1.9146261243108142e-09
0.0	0.0002502908295971388	2.097694351554935e-09
0.0	0.0002610617582032872	2.2982237224411506e-09
0.0	0.0002722961992090922	2.5178751306143e-09
0.0	0.00028401409924613016	2.7584667883218117e-09
0.0	0.00029623626332239076	3.0219896585137462e-09
0.0	0.0003089843917613481	3.3106231089874427e-09
0.0	0.00032228111873065915	3.6267532310674255e-09
0.0	0.00033615005242888834	3.972991824419125e-09
0.0	0.00035061581700161445	4.352198379464767e-09
0.0	0.0003657040962613424	4.7675027259330705e-09
0.0	0.0003814416792888425	5.22233101207803e-09
0.0	0.000397856507996879	5.720433460254526e-09
0.0	0.0004149777267407826	6.2659151200961105e-09
0.0	0.0004328357340639471	6.863268842138837e-09
0.0	0.00045146223667012086	7.517412470292584e-09
0.0	0.0004708903057183259	8.233728032713827e-09
0.0	0.0004911544355403534	9.018106150726624e-09
0.0	0.0005122906048850836	9.876993667390366e-09
0.0	0.0005343363407983772	1.0817445605937337e-08
0.0	0.0005573307852519483	1.1847183012392293e-08
0.0	0.000581314764639525	1.2974654794994933e-08
0.0	0.0006063308622636774	1.4209106780072034e-08
0.0	0.000632423493942025	1.5560655874935492e-08
0.0	0.000659638986867053	1.7040372557453054e-08
0.0	0.000688025661859552	1.8660369582867986e-08
0.0	0.000717633919161727	2.0433900460581356e-08
0.0	0.0007485163279222979	2.237546570249549e-08
0.0	0.0007807277195324659	2.4500930173587676e-08
0.0	0.0008143252849784713	2.6827650767557998e-08
0.0	0.00084936867638359	2.937461573981892e-08
0.0	0.000885920112919844	3.2162597918272695e-08
0.0	0.0009240444912774898	3.521432134778735e-08
0.0	0.0009638095008884048	3.855464369983963e-08
0.0	0.0010052857441079646	4.221075555754794e-08
0.0	0.0010485468615687745	4.6212398796541265e-08
0.0	0.0010936696629288403	5.059210428370875e-08
0.0	0.0011407342632463076	5.538545244654358e-08
0.0	0.0011898242252228988	6.06313576012596e-08
0.0	0.0012410267075686108	6.637237881523816e-08
0.0	0.0012944326197510897	7.265505974629605e-08
0.0	0.001350136783404426	7.95302994571756e-08
0.0	0.0014082381006839686	8.70537582020603e-08
0.0	0.0014688397298660634	9.528629996147231e-08
0.0	0.0015320492685044786	1.042944771656451e-07
0.0	0.0015979789444687295	1.1415105882761623e-07
0.0	0.0016667458152034831	1.24935608192267e-07
0.0	0.0017384719755628084	1.367351137870898e-07
0.0	0.0018132847745883065	1.4964467853761931e-07
0.0	0.001891317041615997	1.6376827227659874e-07
0.0	0.001972707322113394	1.7921955342004026e-07
0.0	0.0020576001236655285	1.9612276735969658e-07
0.0	0.0021461461725466413	2.1461372634590248e-07
0.0	0.0022385026813330996	2.348408796315482e-07
0.0	0.002334833628032657	2.5696648286999135e-07
0.0	0.002435310047225686	2.8116787398335674e-07
0.0	0.0025401103337352763	3.076388662703877e-07
0.0	0.002649420559365351	3.3659127007812373e-07
0.0	0.0027634348032691994	3.682565526963444e-07
0.0	0.002882355496534974	4.0288765112972413e-07
0.0	0.0030063937815999406	4.407609506262844e-07
0.0	0.0031357698871316564	4.821784439501542e-07
0.0	0.0032707135190416545	5.274700879409622e-07
0.0	0.003411464268325854	5.76996376011607e-07
0.0	0.0035582720364558586	6.31151143792863e-07
0.0	0.003711397479076377	6.903646321276824e-07
0.0	0.0038711124687965874	7.551068287314777e-07
0.0	0.004037700577897068	8.258911129432889e-07
0.0	0.004211457581809403	9.03278233432836e-07
0.0	0.004392691984262353	9.878806469520995e-07
0.0	0.004581725565026951	1.0803672499948291e-06
0.0	0.004778893951233108	1.1814685414446302e-06
0.0	0.004984547213272052	1.2919822517387658e-06
0.0	0.005199050486342596	1.412779482845572e-06
0.0	0.0054227846187448435	1.544811403131341e-06
0.0	0.005656146848072349	1.6891165472987524e-06
0.0	0.005899551506503246	1.8468287771300496e-06
0.0	0.006153430756442674	2.019185958435088e-06
0.0	0.006418235357822596	2.207539421927862e-06
0.0	0.006694435468421267	2.4133642750889805e-06
0.0	0.006982521478623434	2.6382706432848124e-06
0.0	0.007283004882103306	2.8840159193022075e-06
0.0	0.007596419183976154	3.152518115223657e-06
0.0	0.007923320848031035	3.44587040990163e-06
0.0	0.008264290284726375	3.7663570021662096e-06
0.0	0.008619932881702645	4.1164703822316184e-06
0.0	0.008990880078641688	4.4989301473119525e-06
0.0	0.00937779048838128	4.916703499890929e-06
0.0	0.009781351066275193	5.373027573529754e-06
0.0	0.010202278329875279	5.871433749859989e-06
0.0	0.010641319631100793	6.415774141288466e-06
0.0	0.011099254483153787	7.010250427930131e-06
0.0	0.011576895944536692	7.659445258267894e-06
0.0	0.012075092062629062	8.368356434917956e-06
0.0	0.012594727379386701	9.142434132303201e-06
0.0	0.013136724501836693	9.987621407914204e-06
0.0	0.013702045740156408	1.0910398297037105e-05
0.0	0.014291694816244992	1.191782980203282e-05
0.0	0.014906718645821163	1.3017618115229723e-05
0.0	0.01554820919721097	1.4218159442136447e-05
0.0	0.016217305430125954	1.552860582687554e-05
0.0	0.016915195317874276	1.6958932409605332e-05
0.0	0.017643117956594727	1.852001058832986e-05
0.0	0.01840236576525875	2.022368759435622e-05
0.0	0.01919428678034694	2.2082873033957284e-05
0.0	0.02002028704927333	2.4111632997092514e-05
0.0	0.02088183312680799	2.632529238311143e-05
0.0	0.02178045467892947	2.8740546149430557e-05
0.0	0.02271774719873049	3.137558024790543e-05
0.0	0.023695374839199344	3.425020307779025e-05
0.0	0.02471507336790588	3.738598835512086e-05
0.0	0.025778653248838386	4.0806430371742586e-05
0.0	0.026888002856863557	4.4537112699916115e-05
0.0	0.02804509183051608	4.860589148658612e-05
0.0	0.029251974569070895	5.304309457709877e-05
0.0	0.030510793880107766	5.788173780851835e-05
0.0	0.031823784784043414	6.315775993048778e-05
0.0	0.03319327848238651	6.891027772493175e-05
0.0	0.034621706496761745	7.518186303157037e-05
0.0	0.036111604986050656	8.20188435258773e-05
0.0	0.037665619249314795	8.947162924832774e-05
0.0	0.0392865084224967	9.759506704876131e-05
0.0	0.04097715037723653	0.00010644882528954014
0.0	0.04274054683050254	0.00011609781134136465
0.0	0.044579828674108396	0.0001266126246175503
0.0	0.04649826153357836	0.0001380700481149466
0.0	0.04849925156623073	0.000150553581674151
0.0	0.05058635150877473	0.0001641540204361247
0.0	0.05276326698515689	0.00017897008225609135
0.0	0.05503386308585695	0.0001951090881413542
0.0	0.05740217123031587	0.00021268770011617644
0.0	0.05987239632467828	0.00023183272127225152
0.0	0.06244892422755865	0.0002526819631536448
0.0	0.06513632953708767	0.00027538518604441897
0.0	0.06793938371306275	0.0003001051181811265
0.0	0.07086306354862415	0.0003270185604019593
0.0	0.07391256000649948	0.0003563175832752563
0.0	0.077093287435503	0.00038821082432238807
0.0	0.08041089318365438	0.0004229248935697649
0.0	0.08387126762498655	0.00046070589633517844
0.0	0.08748055461784161	0.000501821082874665
0.0	0.09124516241322753	0.000546560635302118
0.0	0.09517177503259984	0.000595239603037534
0.0	0.09926736413527075	0.0006481999989544907
0.0	0.10353920139651779	0.0007058130693877729
0.0	0.1079948714183661	0.0007684817522278786
0.0	0.11264228519596878	0.0008366433384884298
0.0	0.11748969416349653	0.0009107723539766299
0.0	0.12254570484447154	0.000991383679051383
0.0	0.12781929413255855	0.0010790359259087445
0.0	0.13331982522994618	0.0011743350944113384
0.0	0.13905706427161318	0.0012779385291813439
0.0	0.14504119766499737	0.0013905592025124092
0.0	0.15128285017585602	0.001512970349642817
0.0	0.15779310379242487	0.0016460104850689605
