Y	r	N(r,Y)
0.0	1e-06	3.962e-13
0.0	1.0472494123e-06	4.332e-13
0.0	1.0967313316e-06	4.737e-13
0.0	1.1485512424e-06	5.179e-13
0.0	1.2028196136e-06	5.663e-13
0.0	1.2596521335e-06	6.191e-13
0.0	1.3191699565e-06	6.769e-13
0.0	1.3814999616e-06	7.401e-13
0.0	1.4467750229e-06	8.092e-13
0.0	1.5151342925e-06	8.847e-13
0.0	1.5867234973e-06	9.673e-13
0.0	1.6616952501e-06	1.0575e-12
0.0	1.7402093741e-06	1.1562e-12
0.0	1.8224332443e-06	1.2641e-12
0.0	1.908542144e-06	1.382e-12
0.0	1.9987196387e-06	1.5108e-12
0.0	2.0931579669e-06	1.6517e-12
0.0	2.1920584507e-06	1.8058e-12
0.0	2.2956319242e-06	1.9741e-12
0.0	2.4040991835e-06	2.1581e-12
0.0	2.517691457e-06	2.3592e-12
0.0	2.6366508987e-06	2.5792e-12
0.0	2.7612311041e-06	2.8194e-12
0.0	2.891697651e-06	3.0821e-12
0.0	3.0283286656e-06	3.3693e-12
0.0	3.1714154153e-06	3.6832e-12
0.0	3.3212629298e-06	4.0261e-12
0.0	3.4781906513e-06	4.401e-12
0.0	3.6425331154e-06	4.8108e-12
0.0	3.8146406644e-06	5.2588e-12
0.0	3.994880194e-06	5.7483e-12
0.0	4.1836359353e-06	6.2833e-12
0.0	4.3813102745e-06	6.8681e-12
0.0	4.5883246101e-06	7.5072e-12
0.0	4.8051202514e-06	8.2057e-12
0.0	5.0321593593e-06	8.9689e-12
0.0	5.2699259316e-06	9.8033e-12
0.0	5.5189268347e-06	1.0715e-11
0.0	5.7796928842e-06	1.17113e-11
0.0	6.0527799762e-06	1.28002e-11
0.0	6.3387702728e-06	1.39901e-11
0.0	6.6382734429e-06	1.52905e-11
0.0	6.9519279618e-06	1.67116e-11
0.0	7.2804024723e-06	1.82645e-11
0.0	7.6243972104e-06	1.99615e-11
0.0	7.9846454977e-06	2.18159e-11
0.0	8.3619153049e-06	2.38422e-11
0.0	8.7570108888e-06	2.60564e-11
0.0	9.1707745067e-06	2.8476e-11
0.0	9.6040882125e-06	3.11198e-11
0.0	1.00578757362e-05	3.40086e-11
0.0	1.05331044537e-05	3.7165e-11
0.0	1.10307874488e-05	4.06141e-11
0.0	1.1551985673e-05	4.43825e-11
0.0	1.20978102069e-05	4.85001e-11
0.0	1.26694246293e-05	5.29988e-11
0.0	1.32680474971e-05	5.79142e-11
0.0	1.38949549437e-05	6.32846e-11
0.0	1.45514833987e-05	6.9152e-11
0.0	1.52390324374e-05	7.55624e-11
0.0	1.5959067764e-05	8.2566e-11
0.0	1.67131243367e-05	9.02174e-11
0.0	1.75028096393e-05	9.85765e-11
0.0	1.83298071083e-05	1.077086e-10
0.0	1.91958797217e-05	1.176851e-10
0.0	2.01028737571e-05	1.285839e-10
0.0	2.10527227277e-05	1.4049e-10
0.0	2.20474515038e-05	1.534963e-10
0.0	2.308918063e-05	1.677043e-10
0.0	2.41801308453e-05	1.832248e-10
0.0	2.5322627817e-05	2.001787e-10
0.0	2.65191070992e-05	2.186981e-10
0.0	2.77721193243e-05	2.389272e-10
0.0	2.90843356406e-05	2.610235e-10
0.0	3.04585534067e-05	2.851591e-10
0.0	3.18977021547e-05	3.115217e-10
0.0	3.34048498351e-05	3.403162e-10
0.0	3.49832093578e-05	3.717665e-10
0.0	3.66361454402e-05	4.061168e-10
0.0	3.83671817811e-05	4.436341e-10
0.0	4.01800085718e-05	4.846097e-10
0.0	4.2078490363e-05	5.293613e-10
0.0	4.4066674303e-05	5.782363e-10
0.0	4.61487987658e-05	6.316135e-10
0.0	4.83293023857e-05	6.899068e-10
0.0	5.06128335202e-05	7.535677e-10
0.0	5.30042601588e-05	8.23089e-10
0.0	5.55086803006e-05	8.990091e-10
0.0	5.81314328222e-05	9.819153e-10
0.0	6.08781088591e-05	1.0724488e-09
0.0	6.37545637246e-05	1.1713095e-09
0.0	6.67669293919e-05	1.279261e-09
0.0	6.99216275666e-05	1.3971374e-09
0.0	7.3225383376e-05	1.5258486e-09
0.0	7.66852397059e-05	1.6663875e-09
0.0	8.03085722139e-05	1.8198382e-09
0.0	8.41031050535e-05	1.9873835e-09
0.0	8.80769273398e-05	2.1703146e-09
0.0	9.22385103936e-05	2.3700402e-09
0.0	9.65967258009e-05	2.5880976e-09
0.0	0.000101160864325	2.8261647e-09
0.0	0.0001059406557119	3.0860724e-09
0.0	0.0001109462894328	3.3698182e-09
0.0	0.0001161884364051	3.679582e-09
0.0	0.0001216782717411	4.0177425e-09
0.0	0.0001274274985703	4.3868947e-09
0.0	0.0001334483729884	4.7898704e-09
0.0	0.0001397537301842	5.229759e-09
0.0	0.0001463570118019	5.7099311e-09
0.0	0.0001532722945953	6.234064e-09
0.0	0.0001605143204365	6.8061698e-09
0.0	0.0001680985277425	7.4306251e-09
0.0	0.0001760410843866	8.1122042e-09
0.0	0.0001843589221641	8.8561158e-09
0.0	0.0001930697728883	9.6680413e-09
0.0	0.0002021922061898	1.0554178e-08
0.0	0.0002117456691036	1.1521286e-08
0.0	0.0002217505275254	1.25767388e-08
0.0	0.0002322281096278	1.37285786e-08
0.0	0.0002432007513268	1.4985577e-08
0.0	0.0002546918438975	1.63573005e-08
0.0	0.0002667258838387	1.78541828e-08
0.0	0.0002793285250948	1.94876022e-08
0.0	0.0002925266337437	2.12699673e-08
0.0	0.0003063483452696	2.32148102e-08
0.0	0.0003208231245421	2.53368865e-08
0.0	0.0003359818286284	2.76522869e-08
0.0	0.0003518567725739	3.01785563e-08
0.0	0.0003684817982912	3.29348252e-08
0.0	0.000385892346703	3.59419519e-08
0.0	0.0004041255332951	3.92226781e-08
0.0	0.0004232202272379	4.28017979e-08
0.0	0.0004432171342476	4.6706342e-08
0.0	0.0004641588833613	5.09657789e-08
0.0	0.0004860901178131	5.56122328e-08
0.0	0.0005090575902037	6.06807223e-08
0.0	0.0005331102621667	6.62094197e-08
0.0	0.0005582994087442	7.22399331e-08
