y	r	N(r,Y)
0.0	2.9999999999999997e-06	3.4832813085836755e-12
0.0	3.1291009577556375e-06	3.779086857383416e-12
0.0	3.2637576012757556e-06	4.099914701571996e-12
0.0	3.4042090120114036e-06	4.447882252125285e-12
0.0	3.550704559961752e-06	4.825449467200583e-12
0.0	3.703504346427883e-06	5.2348662532336596e-12
0.0	3.862879665819886e-06	5.6789484975414e-12
0.0	4.029113487337261e-06	6.1607469721425694e-12
0.0	4.202500957377734e-06	6.683216684487036e-12
0.0	4.3833499235665515e-06	7.249992694149691e-12
0.0	4.5719814813367325e-06	7.864617744143951e-12
0.0	4.768730544030612e-06	8.531317334214673e-12
0.0	4.973946437534918e-06	9.254341866877993e-12
0.0	5.187993520505251e-06	1.003863421646866e-11
0.0	5.411251831281018e-06	1.0889289847235421e-11
0.0	5.644117762639461e-06	1.1811821304176304e-11
0.0	5.887004765586915e-06	1.2813010725201397e-11
0.0	6.140344083436685e-06	1.3916220746538974e-11
0.0	6.404585517476965e-06	1.508634773595985e-11
0.0	6.680198225588353e-06	1.6363958645398644e-11
0.0	6.967671555228688e-06	1.7742030230296573e-11
0.0	7.267515912264268e-06	1.923604623286889e-11
0.0	7.580263667190167e-06	2.085482098779059e-11
0.0	7.906470100348338e-06	2.2621170088729485e-11
0.0	8.2467143878221e-06	2.4499431610839353e-11
0.0	8.601600629757127e-06	2.657750267925158e-11
0.0	8.97175892293484e-06	2.884130082998083e-11
0.0	9.3578464795027e-06	3.1264391053529874e-11
0.0	9.760548793847392e-06	3.390853391599761e-11
0.0	1.0180580859682836e-05	3.674034716183606e-11
0.0	1.0618688439514093e-05	3.98599999705749e-11
0.0	1.1075649388730775e-05	4.321264150418367e-11
0.0	1.1552275036681039e-05	4.700708172701223e-11
0.0	1.2049411627178395e-05	5.080152194984079e-11
0.0	1.2567941820998635e-05	5.5064131597513336e-11
0.0	1.3108786263034654e-05	5.974429279603174e-11
0.0	1.3672905216891896e-05	6.469110111522234e-11
0.0	1.4261300269826188e-05	7.020912979273161e-11
0.0	1.4875016111051287e-05	7.603325087015748e-11
0.0	1.551514238657371e-05	8.251969723379301e-11
0.0	1.6182815633847658e-05	8.944979977590487e-11
0.0	1.6879221299685207e-05	9.698845029425105e-11
0.0	1.760559584500481e-05	1.0517005252196207e-10
0.0	1.8363228940154412e-05	1.1398801643469222e-10
0.0	1.9153465754707738e-05	1.2361105285521455e-10
0.0	1.9977709345798634e-05	1.3394052642247292e-10
0.0	2.083742314923409e-05	1.4520412819388734e-10
0.0	2.1734133577809298e-05	1.5747730949949082e-10
0.0	2.2669432731437386e-05	1.7070190793865135e-10
0.0	2.3644981223905912e-05	1.849164539325946e-10
0.0	2.4662511131279353e-05	2.0063834358685502e-10
0.0	2.5723829067181817e-05	2.1754472042758193e-10
0.0	2.683081939042031e-05	2.3574707591264816e-10
0.0	2.7985447550644247e-05	2.5560968216118443e-10
0.0	2.9189763577980414e-05	2.7688228015168166e-10
0.0	3.0445905722839716e-05	3.0013613283830834e-10
0.0	3.1756104252358535e-05	3.255561577629528e-10
0.0	3.312268541021439e-05	3.5281039697610284e-10
0.0	3.454807554684684e-05	3.821528698914358e-10
0.0	3.603480542741753e-05	4.143121737303871e-10
0.0	3.758551472515682e-05	4.492436985526792e-10
0.0	3.920295670807561e-05	4.872263265630731e-10
0.0	4.0890003127364066e-05	5.28223406762206e-10
0.0	4.2649649316155386e-05	5.724934003231946e-10
0.0	4.448501950770797e-05	6.202050468636816e-10
0.0	4.639937238244908e-05	6.724477901503554e-10
0.0	4.839610685372739e-05	7.288410512781785e-10
0.0	5.047876810254753e-05	7.895669704343439e-10
0.0	5.265105387200207e-05	8.5580026023287e-10
0.0	5.491682103257522e-05	9.279670906893563e-10
0.0	5.7280092429975356e-05	1.005663964753031e-09
0.0	5.974506402765579e-05	1.089585201347745e-09
0.0	6.231611235670332e-05	1.1813973182033905e-09
0.0	6.499780228632277e-05	1.2798966029106007e-09
0.0	6.779489512871472e-05	1.3871559061212643e-09
0.0	7.071235709273488e-05	1.5029978654037034e-09
0.0	7.375536810134513e-05	1.6298227230727965e-09
0.0	7.692933098851289e-05	1.7658416836986717e-09
0.0	8.023988109188553e-05	1.9132500365629475e-09
0.0	8.369289625827251e-05	2.0737100057413807e-09
0.0	8.729450727970124e-05	2.2474441686261395e-09
0.0	9.10511087785734e-05	2.435135625074736e-09
0.0	9.496937056124893e-05	2.6378260943927546e-09
0.0	9.905624946021803e-05	2.8583407664454463e-09
0.0	0.00010331900168588338	3.0987264747820423e-09
0.0	0.0001077651957098847	3.3566123367771705e-09
0.0	0.00011240272570284132	3.6347124738278897e-09
0.0	0.00011723982555036855	3.939811547213053e-09
0.0	0.00012228508347225406	4.267117605393245e-09
0.0	0.00012754745727075275	4.62663997402591e-09
0.0	0.00013303629023506981	5.013588393206092e-09
0.0	0.00013876132773027133	5.429423060330266e-09
0.0	0.00014473273450007866	5.884571321572688e-09
0.0	0.00015096111271426313	6.3756587585286076e-09
0.0	0.00015745752079268587	6.9075207557911824e-09
0.0	0.0001642334930394072	7.483004535256036e-09
0.0	0.0001713010601217213	8.103559536783006e-09
0.0	0.0001786727704304784	8.780442334061248e-09
0.0	0.00018636171235962071	9.519160713866526e-09
0.0	0.00019438153754449032	1.0303613501604644e-08
0.0	0.00020274648510015974	1.1161755958476947e-08
0.0	0.00021147140690283263	1.2092508045868065e-08
0.0	0.00022057179395919564	1.3100020479068752e-08
0.0	0.0002300638039105332	1.4193795001862598e-08
0.0	0.00023996428972045155	1.5371782523171068e-08
0.0	0.0002502908295971388	1.665399906950275e-08
0.0	0.0002610617582032872	1.8037564560469878e-08
0.0	0.0002722961992090922	1.954060182762176e-08
0.0	0.00028401409924613016	2.11656713214154e-08
0.0	0.00029623626332239076	2.2914664382932226e-08
0.0	0.0003089843917613481	2.480593019460644e-08
0.0	0.00032228111873065915	2.6879508649483452e-08
0.0	0.00033615005242888834	2.91126351641446e-08
0.0	0.00035061581700161445	3.1534027273590764e-08
0.0	0.0003657040962613424	3.413842004638714e-08
0.0	0.0003814416792888425	3.6972582117686515e-08
0.0	0.000397856507996879	4.005740084206031e-08
0.0	0.0004149777267407826	4.336472560384591e-08
0.0	0.0004328357340639471	4.696956923267499e-08
0.0	0.00045146223667012086	5.084712344937528e-08
0.0	0.0004708903057183259	5.501703192899552e-08
0.0	0.0004911544355403534	5.962789908688789e-08
0.0	0.0005122906048850836	6.454456106333851e-08
0.0	0.0005343363407983772	6.993349897487453e-08
0.0	0.0005573307852519483	7.569211506122103e-08
0.0	0.000581314764639525	8.200421787489318e-08
0.0	0.0006063308622636774	8.870622302695955e-08
0.0	0.000632423493942025	9.607454270506154e-08
0.0	0.000659638986867053	1.0389139534426299e-07
0.0	0.000688025661859552	1.1260217694413009e-07
0.0	0.000717633919161727	1.2190919720631773e-07
0.0	0.0007485163279222979	1.3183608626714195e-07
0.0	0.0007807277195324659	1.428874842466757e-07
0.0	0.0008143252849784713	1.5465929195025816e-07
0.0	0.00084936867638359	1.675337056720977e-07
0.0	0.000885920112919844	1.8115770769452282e-07
0.0	0.0009240444912774898	1.960799499644231e-07
0.0	0.0009638095008884048	2.124305488166093e-07
0.0	0.0010052857441079646	2.2979454571095545e-07
0.0	0.0010485468615687745	2.487374099463429e-07
0.0	0.0010936696629288403	2.692241978486279e-07
0.0	0.0011407342632463076	2.915353127890029e-07
0.0	0.0011898242252228988	3.1539010729211687e-07
0.0	0.0012410267075686108	3.414858368574882e-07
0.0	0.0012944326197510897	3.691337605252241e-07
0.0	0.001350136783404426	3.99941777245881e-07
0.0	0.0014082381006839686	4.3257306290873777e-07
0.0	0.0014688397298660634	4.6821830539259695e-07
0.0	0.0015320492685044786	5.064443271061874e-07
0.0	0.0015979789444687295	5.48329013664533e-07
0.0	0.0016667458152034831	5.931359730754837e-07
0.0	0.0017384719755628084	6.415738775633631e-07
0.0	0.0018132847745883065	6.941555731525781e-07
0.0	0.001891317041615997	7.511780263869196e-07
0.0	0.001972707322113394	8.128073968682832e-07
0.0	0.0020576001236655285	8.792427637002674e-07
0.0	0.0021461461725466413	9.495901629168364e-07
0.0	0.0022385026813330996	1.0294076739834135e-06
0.0	0.002334833628032657	1.1134160921167365e-06
0.0	0.002435310047225686	1.2037247411190442e-06
0.0	0.0025401103337352763	1.3032972718527325e-06
0.0	0.002649420559365351	1.4096374212120925e-06
0.0	0.0027634348032691994	1.5253090208565713e-06
0.0	0.002882355496534974	1.6493756015083432e-06
0.0	0.0030063937815999406	1.7837771595470723e-06
0.0	0.0031357698871316564	1.929421603614217e-06
0.0	0.0032707135190416545	2.084911494708461e-06
0.0	0.003411464268325854	2.2543295108073125e-06
0.0	0.0035582720364558586	2.4368744861671546e-06
0.0	0.003711397479076377	2.6380123255461293e-06
0.0	0.0038711124687965874	2.853196913111147e-06
0.0	0.004037700577897068	3.0840153279159753e-06
0.0	0.004211457581809403	3.3362560912804926e-06
0.0	0.004392691984262353	3.6058384322802188e-06
0.0	0.004581725565026951	3.898965797946226e-06
0.0	0.004778893951233108	4.212560624795604e-06
0.0	0.004984547213272052	4.558029395307678e-06
0.0	0.005199050486342596	4.927424204810437e-06
0.0	0.0054227846187448435	5.328265622174928e-06
0.0	0.005656146848072349	5.7593345544778425e-06
0.0	0.005899551506503246	6.218796134428747e-06
0.0	0.006153430756442674	6.728327070488726e-06
0.0	0.006418235357822596	7.272226754988029e-06
0.0	0.006694435468421267	7.862282530422808e-06
0.0	0.006982521478623434	8.49502967635916e-06
0.0	0.007283004882103306	9.177207911220154e-06
0.0	0.007596419183976154	9.916041655791016e-06
0.0	0.007923320848031035	1.0722510008951058e-05
0.0	0.008264290284726375	1.1586826163284962e-05
0.0	0.008619932881702645	1.250155263135322e-05
0.0	0.008990880078641688	1.3520889252382297e-05
0.0	0.00937779048838128	1.4617031449384942e-05
0.0	0.009781351066275193	1.5789282079007817e-05
0.0	0.010202278329875279	1.706045180469014e-05
0.0	0.010641319631100793	1.8422353946060694e-05
0.0	0.011099254483153787	1.9898302996599055e-05
0.0	0.011576895944536692	2.1504623949358102e-05
0.0	0.012075092062629062	2.3219444578339497e-05
0.0	0.012594727379386701	2.508956371708895e-05
0.0	0.013136724501836693	2.7086512663129137e-05
0.0	0.013702045740156408	2.923419541971975e-05
0.0	0.014291694816244992	3.160241877867343e-05
0.0	0.014906718645821163	3.4104731490233265e-05
0.0	0.01554820919721097	3.6819386725759524e-05
0.0	0.016217305430125954	3.972574435760063e-05
0.0	0.016915195317874276	4.296200553642721e-05
0.0	0.017643117956594727	4.634696500356087e-05
0.0	0.01840236576525875	4.99936968129378e-05
0.0	0.01919428678034694	5.404840207307893e-05
0.0	0.02002028704927333	5.828355078107701e-05
0.0	0.02088183312680799	6.288972325594662e-05
0.0	0.02178045467892947	6.796116006036594e-05
0.0	0.02271774719873049	7.335606545683291e-05
0.0	0.023695374839199344	7.908060862111316e-05
0.0	0.02471507336790588	8.544333275534204e-05
0.0	0.025778653248838386	9.212510838737873e-05
0.0	0.026888002856863557	9.948475949311312e-05
0.0	0.02804509183051608	0.0001071941306467213
0.0	0.029251974569070895	0.00011603599893557995
0.0	0.030510793880107766	0.0001248778672244386
0.0	0.031823784784043414	0.0001347294923143702
0.0	0.03319327848238651	0.00014532948636633726
0.0	0.034621706496761745	0.00015668217117233713
0.0	0.036111604986050656	0.00016912873746180717
0.0	0.037665619249314795	0.00018231230029369197
0.0	0.0392865084224967	0.00019646390854322998
0.0	0.04097715037723653	0.00021212373836849535
0.0	0.04274054683050254	0.00022873978469537394
0.0	0.044579828674108396	0.0002461673843261505
0.0	0.04649826153357836	0.00026585211449214603
0.0	0.04849925156623073	0.0002864909165850553
0.0	0.05058635150877473	0.00030887991512281
0.0	0.05276326698515689	0.0003326958866127868
0.0	0.05503386308585695	0.0004065506852474076
0.0	0.05740217123031587	0.0004365688430730426
0.0	0.05987239632467828	0.0004685321320703482
0.0	0.06244892422755865	0.0005038626015369771
0.0	0.06513632953708767	0.0005412639337146904
0.0	0.06793938371306275	0.0005809493712487465
0.0	0.07086306354862415	0.0006248935786696888
0.0	0.07391256000649948	0.0006710575078461024
0.0	0.077093287435503	0.0007215124683044298
0.0	0.08041089318365438	0.0007736086437985932
0.0	0.08387126762498655	0.0008304789432123791
0.0	0.08748055461784161	0.000893521129658456
0.0	0.09124516241322753	0.0009593682570539315
0.0	0.09517177503259984	0.0010300989966368476
0.0	0.09926736413527075	0.0010152160454257513
0.0	0.10353920139651779	0.0010929965470073736
