y	r	N(r,Y)
0.0	2.9999999999999997e-06	1.2061642878893902e-10
0.0	3.1291009577556375e-06	1.3085805808047416e-10
0.0	3.2637576012757556e-06	1.4196773655403184e-10
0.0	3.4042090120114036e-06	1.5401866619856822e-10
0.0	3.550704559961752e-06	1.6709050556373001e-10
0.0	3.703504346427883e-06	1.8126951073981584e-10
0.0	3.862879665819886e-06	1.9664923111116872e-10
0.0	4.029113487337261e-06	2.1333099605656334e-10
0.0	4.202500957377734e-06	2.3142484213067394e-10
0.0	4.3833499235665515e-06	2.5105000374146837e-10
0.0	4.5719814813367325e-06	2.723357481962599e-10
0.0	4.768730544030612e-06	2.9542230741680465e-10
0.0	4.973946437534918e-06	3.2046193801971463e-10
0.0	5.187993520505251e-06	3.4761965363305596e-10
0.0	5.411251831281018e-06	3.7707519536169703e-10
0.0	5.644117762639461e-06	4.0902543430832493e-10
0.0	5.887004765586915e-06	4.436960021589589e-10
0.0	6.140344083436685e-06	4.816977872366326e-10
0.0	6.404585517476965e-06	5.226551258663405e-10
0.0	6.680198225588353e-06	5.666833679195794e-10
0.0	6.967671555228688e-06	6.144767701727252e-10
0.0	7.267515912264268e-06	6.661407523383791e-10
0.0	7.580263667190167e-06	7.221091152537535e-10
0.0	7.906470100348338e-06	7.832971587339017e-10
0.0	8.2467143878221e-06	8.483742650395209e-10
0.0	8.601600629757127e-06	9.205331951963146e-10
0.0	8.97175892293484e-06	9.987101846687626e-10
0.0	9.3578464795027e-06	1.082630099935537e-09
0.0	9.760548793847392e-06	1.174183246363243e-09
0.0	1.0180580859682836e-05	1.2722344317424222e-09
0.0	1.0618688439514093e-05	1.3802785982071765e-09
0.0	1.1075649388730775e-05	1.4963365512765551e-09
0.0	1.1552275036681039e-05	1.626733152448924e-09
0.0	1.2049411627178395e-05	1.7571297536212927e-09
0.0	1.2567941820998635e-05	1.906778740274905e-09
0.0	1.3108786263034654e-05	2.0683412349820172e-09
0.0	1.3672905216891896e-05	2.239751854734174e-09
0.0	1.4261300269826188e-05	2.431437520717704e-09
0.0	1.4875016111051287e-05	2.6327343761025834e-09
0.0	1.551514238657371e-05	2.857407261987685e-09
0.0	1.6182815633847658e-05	3.097400177597705e-09
0.0	1.6879221299685207e-05	3.3583827014945294e-09
0.0	1.760559584500481e-05	3.639932512462573e-09
0.0	1.8363228940154412e-05	3.947438709790539e-09
0.0	1.9153465754707738e-05	4.2791953072870915e-09
0.0	1.9977709345798634e-05	4.63924804382708e-09
0.0	2.083742314923409e-05	5.0289403727810205e-09
0.0	2.1734133577809298e-05	5.452110736193411e-09
0.0	2.2669432731437386e-05	5.911960816071089e-09
0.0	2.3644981223905912e-05	6.402622996166494e-09
0.0	2.4662511131279353e-05	6.947021738376726e-09
0.0	2.5723829067181817e-05	7.531424612265711e-09
0.0	2.683081939042031e-05	8.162612513528442e-09
0.0	2.7985447550644247e-05	8.84559870512038e-09
