y	r	N(r,Y)
0.0	2.9999999999999997e-06	1.4954704141700859e-13
0.0	3.1399916833634877e-06	1.653122083666858e-13
0.0	3.2865159238639567e-06	1.8263168755083825e-13
0.0	3.439877556058165e-06	2.0172752357439094e-13
0.0	3.600395639270459e-06	2.2293278334473143e-13
0.0	3.7684041213758038e-06	2.462474668618597e-13
0.0	3.944252533557572e-06	2.7211566333562587e-13
0.0	4.128306717485381e-06	3.006483950684924e-13
0.0	4.320949586425906e-06	3.3217872896784684e-13
0.0	4.522581921870083e-06	3.6692870963861424e-13
0.0	4.73362320733404e-06	4.0534242629064465e-13
0.0	4.954512501068437e-06	4.4786396813378815e-13
0.0	5.1857093494917756e-06	4.948264020754323e-13
0.0	5.427694743248153e-06	5.466738173254271e-13
0.0	5.680972117878308e-06	6.038503030936226e-13
0.0	5.946068401185916e-06	6.671330154972566e-13
0.0	6.22353510947807e-06	7.369660437461789e-13
0.0	6.513949494960605e-06	8.141265439576273e-13
0.0	6.8179157466753755e-06	8.993916722488393e-13
0.0	7.136066247477882e-06	9.935385847370526e-13
0.0	7.469062889670481e-06	1.0974554598419672e-12
0.0	7.817598452028057e-06	1.212363542890671e-12
0.0	8.182398041081126e-06	1.3391510123028638e-12
0.0	8.564220599654811e-06	1.4792611580105586e-12
0.0	8.963860485802125e-06	1.6340262476433054e-12
0.0	9.382149125416438e-06	1.8050005934355795e-12
0.0	9.819956741961213e-06	1.993738507621856e-12
0.0	1.0278194166915807e-05	2.2022383916464605e-12
0.0	1.0757814734703584e-05	2.432498646953718e-12
0.0	1.1259816266044813e-05	2.686739719592879e-12
0.0	1.1785243143860546e-05	2.9676261448230434e-12
0.0	1.2335188486046227e-05	3.277822457903312e-12
0.0	1.2910796419635427e-05	3.620326261000173e-12
0.0	1.3513264461084778e-05	3.998579245489964e-12
0.0	1.4143846007632532e-05	4.41635616965641e-12
0.0	1.480385294491334e-05	4.877653836388163e-12
0.0	1.5494658376254655e-05	5.3870241600861846e-12
0.0	1.6217699479332675e-05	5.949685188966214e-12
0.0	1.6974480496130992e-05	6.570854971243989e-12
0.0	1.7766575862422382e-05	7.256861778159873e-12
0.0	1.8595633483284256e-05	8.014366947861618e-12
0.0	1.9463378161462725e-05	8.850697952311748e-12
0.0	2.0371615185717162e-05	9.774292486497416e-12
0.0	2.1322234086611077e-05	1.0794143356918084e-11
0.0	2.2317212567562754e-05	1.192024257079538e-11
0.0	2.3358620619334053e-05	1.3163581336073094e-11
0.0	2.4448624826517315e-05	1.45363721060221e-11
0.0	2.5589492874979493e-05	1.6052159601542826e-11
0.0	2.6783598269641612e-05	1.7725709788862787e-11
0.0	2.803342527240779e-05	1.9573453968746435e-11
0.0	2.934157407051743e-05	2.161348877649516e-11
0.0	3.0710766186072835e-05	2.3865909248854678e-11
0.0	3.214385013799644e-05	2.635247575710764e-11
0.0	3.36438073681971e-05	2.9097835252400728e-11
0.0	3.521375844427405e-05	3.212863308732494e-11
0.0	3.685696955166377e-05	3.547462323894024e-11
0.0	3.857685928873518e-05	3.91684462641706e-11
0.0	4.037700577897066e-05	4.3246184411316335e-11
0.0	4.2261154115029204e-05	4.7747694686961495e-11
0.0	4.4233224150178034e-05	5.2717052945183696e-11
0.0	4.629731865330409e-05	5.820255388755413e-11
0.0	4.8457731844468043e-05	6.425793230846466e-11
0.0	5.071895832876257e-05	7.094214105052288e-11
0.0	5.308570244705793e-05	7.832035020527428e-11
0.0	5.556288806309022e-05	8.646450222471458e-11
0.0	5.815566880725334e-05	9.545386703280201e-11
0.0	6.086943879840553e-05	1.0537615224848196e-10
0.0	6.370984386599884e-05	1.1632794727489681e-10
0.0	6.668279329587423e-05	1.2841572250010813e-10
0.0	6.979447212416389e-05	1.417570505424237e-10
0.0	7.305135400487313e-05	1.5648193851802716e-10
0.0	7.646021467791456e-05	1.7273316110788528e-10
0.0	8.002814606561301e-05	1.9066892509300715e-10
0.0	8.376257102700762e-05	2.10463313443654e-10
0.0	8.767125880064928e-05	2.3230861678769088e-10
0.0	9.176234116801558e-05	2.564166656782163e-10
0.0	9.604432937117732e-05	2.8302149512882124e-10
0.0	0.00010052613181990679	3.123810099481261e-10
0.0	0.00010521707262506967	3.4477976029734236e-10
0.0	0.00011012691099685717	3.8053171724783397e-10
0.0	0.00011526586154821398	4.199831593609815e-10
0.0	0.0001206446155457066	4.6351600335725607e-10
0.0	0.0001262743631520347	5.115513568298979e-10
0.0	0.00013216681670646997	5.645539591370152e-10
0.0	0.0001383342350916474	6.230361782044724e-10
0.0	0.00014478944923740746	6.875631175518038e-10
0.0	0.00015154588881474674	7.587580563850338e-10
0.0	0.00015861761017541058	8.373082227564055e-10
0.0	0.00016601932559526063	9.239718989917378e-10
0.0	0.00017376643388224448	1.0195847499616661e-09
0.0	0.0001818750524126597	1.1250685938435367e-09
0.0	0.00019036205066234998	1.2414400618609989e-09
0.0	0.0001992450853025993	1.3698198131351091e-09
0.0	0.0002085426369337372	1.5114438589591828e-09
0.0	0.00021827404853287503	1.6676748870736446e-09
0.0	0.00022845956569576907	1.8400154733200225e-09
0.0	0.0002391203787565164	2.0301221814733594e-09
0.0	0.0002502786668727296	2.239821550453769e-09
0.0	0.00026195764416789063	2.4711271917610134e-09
0.0	0.0002741816080268895	2.726259218377436e-09
0.0	0.0002869759896452208	3.00766500593852e-09
0.0	0.0003003674069369994	3.31804261843871e-09
0.0	0.00031438371991187876	3.6603662323386743e-09
