y	r	N(r,Y)
0.0	2.9999999999999997e-06	1.739900066482918e-13
0.0	3.1291009577556375e-06	1.9071763400415378e-13
0.0	3.2637576012757556e-06	2.0889484804253106e-13
0.0	3.4042090120114036e-06	2.288849807801886e-13
0.0	3.550704559961752e-06	2.507219357876097e-13
0.0	3.703504346427883e-06	2.7466419568425227e-13
0.0	3.862879665819886e-06	3.0097350662912643e-13
0.0	4.029113487337261e-06	3.2969412256677017e-13
0.0	4.202500957377734e-06	3.6120631411114914e-13
0.0	4.3833499235665515e-06	3.957842309222787e-13
0.0	4.5719814813367325e-06	4.3359654831677704e-13
0.0	4.768730544030612e-06	4.750389913015616e-13
0.0	4.973946437534918e-06	5.204033536251067e-13
0.0	5.187993520505251e-06	5.702105849035963e-13
0.0	5.411251831281018e-06	6.246628309739675e-13
0.0	5.644117762639461e-06	6.844261120675822e-13
0.0	5.887004765586915e-06	7.500486339220193e-13
0.0	6.140344083436685e-06	8.25111534487681e-13
0.0	6.404585517476965e-06	9.057940028787751e-13
0.0	6.680198225588353e-06	9.9166911551716e-13
0.0	6.967671555228688e-06	1.0862241568186804e-12
0.0	7.267515912264268e-06	1.1895233390898495e-12
0.0	7.580263667190167e-06	1.300870678339766e-12
0.0	7.906470100348338e-06	1.4272690684529068e-12
0.0	8.2467143878221e-06	1.5562261758581576e-12
0.0	8.601600629757127e-06	1.7082932691200194e-12
0.0	8.97175892293484e-06	1.875850650931494e-12
0.0	9.3578464795027e-06	2.0537067145059177e-12
0.0	9.760548793847392e-06	2.2500814889569753e-12
0.0	1.0180580859682836e-05	2.457333453476343e-12
0.0	1.0618688439514093e-05	2.6980474379887066e-12
0.0	1.1075649388730775e-05	2.9531515421233704e-12
0.0	1.1552275036681039e-05	3.2395633892660483e-12
0.0	1.2049411627178395e-05	3.525975236408726e-12
0.0	1.2567941820998635e-05	3.875446409158277e-12
0.0	1.3108786263034654e-05	4.251027867866971e-12
0.0	1.3672905216891896e-05	4.6376911980270584e-12
0.0	1.4261300269826188e-05	5.100323765693211e-12
0.0	1.4875016111051287e-05	5.5598610601145225e-12
0.0	1.551514238657371e-05	6.114826170899995e-12
0.0	1.6182815633847658e-05	6.692285519628675e-12
0.0	1.6879221299685207e-05	7.330081311498541e-12
0.0	1.760559584500481e-05	8.0195792540452e-12
0.0	1.8363228940154412e-05	8.791281023911345e-12
0.0	1.9153465754707738e-05	9.624655955439403e-12
0.0	1.9977709345798634e-05	1.0542636101807583e-11
0.0	2.083742314923409e-05	1.1546778544940076e-11
0.0	2.1734133577809298e-05	1.2652245944858432e-11
0.0	2.2669432731437386e-05	1.3865580347079839e-11
0.0	2.3644981223905912e-05	1.5125907479155065e-11
0.0	2.4662511131279353e-05	1.6634838254843334e-11
0.0	2.5723829067181817e-05	1.8204515795392987e-11
