#: table_doi: 10.17182/hepdata.64899.v1/t56
#: name: Table 56
#: description: The measured structure function F2(gZ) determined using the polarised HERA II data set  for Q^2 values of 1200, 1500, 2000 and 3000 GeV^2.

#: data_file: Table56.yaml
#: keyword reactions: E+ P --> E+ X | E- P --> E- X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: Q**2 [GeV^2],1200.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.723,0.596,-0.596,0.544,-0.544
0.022,-,0,0,0,0
0.032,0.049,0.474,-0.474,0.432,-0.432
0.05,0.056,0.408,-0.408,0.368,-0.368
0.08,0.081,0.37,-0.37,0.337,-0.337
0.13,0.492,0.355,-0.355,0.332,-0.332
0.18,0.887,0.322,-0.322,0.298,-0.298
0.25,-0.228,0.276,-0.276,0.255,-0.255
0.4,-0.057,0.197,-0.197,0.174,-0.174
0.65,-,0,0,0,0

#: Q**2 [GeV^2],1500.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,0.938,0.594,-0.594,0.541,-0.541
0.022,-,0,0,0,0
0.032,0.379,0.474,-0.474,0.444,-0.444
0.05,0.139,0.389,-0.389,0.361,-0.361
0.08,0.196,0.355,-0.355,0.33,-0.33
0.13,0.56,0.351,-0.351,0.334,-0.334
0.18,0.475,0.286,-0.286,0.269,-0.269
0.25,-0.435,0.256,-0.256,0.237,-0.237
0.4,0.375,0.173,-0.173,0.158,-0.158
0.65,0.011,0.038,-0.038,0.035,-0.035

#: Q**2 [GeV^2],2000.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,-,0,0,0,0
0.022,1.246,0.758,-0.758,0.709,-0.709
0.032,0.071,0.422,-0.422,0.397,-0.397
0.05,0.467,0.361,-0.361,0.342,-0.342
0.08,-0.081,0.302,-0.302,0.286,-0.286
0.13,0.683,0.293,-0.293,0.28,-0.28
0.18,0.161,0.265,-0.265,0.252,-0.252
0.25,0.363,0.222,-0.222,0.209,-0.209
0.4,0.128,0.15,-0.15,0.138,-0.138
0.65,0.024,0.029,-0.029,0.027,-0.027

#: Q**2 [GeV^2],3000.0
#: RE,E+- P --> E+- X
#: SQRT(S) [GeV],319.0
X,F2(gZ),total +,total -,stat +,stat -
0.02,-,0,0,0,0
0.022,-,0,0,0,0
0.032,0.85,0.32,-0.32,0.294,-0.294
0.05,0.261,0.238,-0.238,0.219,-0.219
0.08,0.279,0.214,-0.214,0.2,-0.2
0.13,0.383,0.201,-0.201,0.19,-0.19
0.18,0.186,0.191,-0.191,0.181,-0.181
0.25,-0.254,0.155,-0.155,0.145,-0.145
0.4,0.124,0.092,-0.092,0.083,-0.083
0.65,0.034,0.018,-0.018,0.016,-0.016

