# sqrt(s): center of mass energy [GeV]
# y=2.2: deuteron-gold, h-, BRAHMS
# y=3.2: deuteron-gold, h-, BRAHMS
s	y	pt	dN	err
200	2.2	0.3527918782	84.83428982	0.4030612245
200	2.2	0.4543147208	61.05402297	0.4948979592
200	2.2	0.5507614213	31.6227766	0.5969387755
200	2.2	0.652284264	25.95886586	0.693877551
200	2.2	0.7487309645	13.89495494	0.8010204082
200	2.2	0.8502538071	9.060305822	0.8979591837
200	2.2	0.9517766497	5.531681198	1
200	2.2	1.088832487	2.86512027	1.198979592
200	2.2	1.28680203	1.301025217	1.397959184
200	2.2	1.489847716	0.5716666502	1.596938776
200	2.2	1.687817259	0.2682695795	1.801020408
200	2.2	1.885786802	0.1435961702	2
200	2.2	2.124365482	0.05716666502	2.301020408
200	2.2	2.545685279	0.01930697729	2.897959184
200	2.2	3.317258883	0.00220220195	4.005102041
200	3.2	0.2512690355	45.40909611	0.04464933181
200	3.2	0.3527918782	30.59949687	0.0451673055
200	3.2	0.4543147208	17.49271187	0.04058323837
200	3.2	0.5507614213	9.060305822	0.04617735419
200	3.2	0.652284264	5.179474679	0.04669532788
200	3.2	0.7487309645	2.430604433	0.0522894437
200	3.2	0.8502538071	1.483981789	0.04770537657
200	3.2	0.9467005076	0.9060305822	0.05329949239
200	3.2	1.088832487	0.3981071706	0.1101471045
200	3.2	1.291878173	0.1483981789	0.1060810111
200	3.2	1.489847716	0.0696397403	0.1121931006
200	3.2	1.687817259	0.02772407997	0.1132031493
200	3.2	1.885786802	0.01344532884	0.114213198
200	3.2	2.124365482	0.004540909611	0.1766549259
200	3.2	2.540609137	0.0011218187912	0.3573500466
200	3.2	3.302030457	0.0001103715503	0.6979695431
