# s: sqrt(s_NN), center of mass energy [GeV]
# pt: transverse momentum [GeV]
sqrt(s)	y	pt[GeV]	dN
200	3.3	2.336734694	0.0002682695795
200	3.3	2.734693878	0.00006520572293
200	3.3	3.010204082	0.00001995262315
200	3.3	3.403061224	0.000006309573445
200	3.8	1.479591837	0.002430604433
200	3.8	1.678571429	0.0008767123873
200	3.8	1.882653061	0.0002430604433
200	3.8	2.081632653	0.00007943282347
200	3.8	2.244897959	0.00001930697729
200	4.0	1.010204082	0.001807768677
200	4.0	1.183673469	0.0006105402297
200	4.0	1.37244898	0.0001868222385
200	4.0	1.56122449	0.00006105402297
200	4.0	1.734693878	0.00002130941015
200	4.0	1.93877551	0.000007437527276	
