#: table_doi: 10.17182/hepdata.68951.v1/t3
#: name: Table 3
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 251$ GeV;
$\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
$\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table3.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 251.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],251.0
Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
1.5,2.79e-05,0.702,9.08,-9.08,4.93,-4.93,3.52,-3.52,2.22,-2.22,-0.37,0.37,-0.41,0.41,-0.12,0.12,-8.43,8.43,0.08,-0.08,0.8,-0.8
2.0,3.72e-05,0.796,6.22,-6.22,4.33,-4.33,2.91,-2.91,1.91,-1.91,-0.31,0.31,-0.76,0.76,-0.1,0.1,-7.05,7.05,0.07,-0.07,0.66,-0.66
2.0,4.15e-05,0.68,7.33,-7.33,3.97,-3.97,2.54,-2.54,0.57,-0.57,-0.19,0.19,-0.34,0.34,-0.08,0.08,-2.55,2.55,0.08,-0.08,0.49,-0.49
2.5,4.65e-05,0.865,5.31,-5.31,4.12,-4.12,2.76,-2.76,2.11,-2.11,-0.31,0.31,-0.39,0.39,-0.08,0.08,-6.4,6.4,0.07,-0.07,0.7,-0.7
2.5,5.19e-05,0.852,3.81,-3.81,3.1,-3.1,1.59,-1.59,1.44,-1.44,-0.23,0.23,-0.5,0.5,-0.05,0.05,-2.39,2.39,0.06,-0.06,0.5,-0.5
2.5,5.8e-05,0.771,4.97,-4.97,3.14,-3.14,1.33,-1.33,0.8,-0.8,-0.13,0.13,-0.18,0.18,-0.02,0.02,-0.48,0.48,0.06,-0.06,0.4,-0.4
3.5,6.51e-05,0.913,5.43,-5.43,4.04,-4.04,2.82,-2.82,2.13,-2.13,-0.34,0.34,-0.65,0.65,-0.1,0.1,-6.78,6.78,0.07,-0.07,0.71,-0.71
3.5,7.27e-05,0.894,3.47,-3.47,2.92,-2.92,1.72,-1.72,1.46,-1.46,-0.25,0.25,-0.37,0.37,-0.06,0.06,-2.53,2.53,0.07,-0.07,0.57,-0.57
3.5,8.12e-05,0.889,3.11,-3.11,2.49,-2.49,1.87,-1.87,1.15,-1.15,-0.24,0.24,-0.34,0.34,-0.07,0.07,-1.72,1.72,0.07,-0.07,0.56,-0.56
3.5,9.21e-05,0.944,3.35,-3.35,2.66,-2.66,1.48,-1.48,0.58,-0.58,-0.14,0.14,-0.42,0.42,-0.04,0.04,-0.18,0.18,0.07,-0.07,0.37,-0.37
3.5,0.000106,0.97,5.35,-5.35,3.27,-3.27,2.09,-2.09,0.56,-0.56,-0.2,0.2,-0.01,0.01,-0.06,0.06,-0.14,0.14,0.07,-0.07,0.5,-0.5
5.0,9.31e-05,0.887,6.33,-6.33,3.99,-3.99,3.01,-3.01,1.99,-1.99,-0.29,0.29,-0.59,0.59,-0.08,0.08,-7.35,7.35,0.07,-0.07,0.65,-0.65
5.0,0.000104,0.896,3.49,-3.49,2.84,-2.84,1.51,-1.51,1.1,-1.1,-0.19,0.19,-0.42,0.42,-0.05,0.05,-1.93,1.93,0.06,-0.06,0.46,-0.46
5.0,0.000116,1.019,2.64,-2.64,2.37,-2.37,1.43,-1.43,1.06,-1.06,-0.2,0.2,-0.22,0.22,-0.04,0.04,-1.01,1.01,0.07,-0.07,0.48,-0.48
5.0,0.000132,0.965,2.54,-2.54,2.33,-2.33,1.44,-1.44,1.12,-1.12,-0.2,0.2,-0.23,0.23,-0.05,0.05,-0.77,0.77,0.07,-0.07,0.49,-0.49
5.0,0.000152,1.02,2.42,-2.42,2.04,-2.04,1.45,-1.45,0.79,-0.79,-0.18,0.18,-0.21,0.21,-0.04,0.04,-0.19,0.19,0.07,-0.07,0.44,-0.44
5.0,0.000201,0.949,2.57,-2.57,2.06,-2.06,1.59,-1.59,0.61,-0.61,-0.16,0.16,-0.2,0.2,-0.05,0.05,-0.1,0.1,0.07,-0.07,0.42,-0.42
6.5,0.000121,0.937,7.04,-7.04,4.03,-4.03,3.42,-3.42,1.81,-1.81,-0.21,0.21,-0.42,0.42,-0.05,0.05,-7.69,7.69,0.06,-0.06,0.56,-0.56
6.5,0.000135,1.005,3.22,-3.22,2.79,-2.79,1.46,-1.46,1.57,-1.57,-0.22,0.22,-0.37,0.37,-0.05,0.05,-1.53,1.53,0.06,-0.06,0.52,-0.52
6.5,0.000151,1.105,2.44,-2.44,2.28,-2.28,1.37,-1.37,1.38,-1.38,-0.2,0.2,-0.39,0.39,-0.05,0.05,-0.95,0.95,0.05,-0.05,0.48,-0.48
6.5,0.000163,1.18,10.62,-10.62,12.01,-12.01,1.81,-1.81,0.95,-0.95,-0.15,0.15,-0.14,0.14,-0.02,0.02,0.71,-0.71,0.07,-0.07,0.5,-0.5
6.5,0.000171,1.057,2.29,-2.29,2.32,-2.32,1.45,-1.45,0.73,-0.73,-0.15,0.15,-0.24,0.24,-0.04,0.04,-0.29,0.29,0.07,-0.07,0.43,-0.43
6.5,0.000183,1.184,9.84,-9.84,13.94,-13.94,1.98,-1.98,1.28,-1.28,-0.18,0.18,-0.14,0.14,-0.02,0.02,0.81,-0.81,0.05,-0.05,0.3,-0.3
6.5,0.000197,1.112,2.04,-2.04,1.96,-1.96,1.33,-1.33,0.89,-0.89,-0.16,0.16,-0.23,0.23,-0.03,0.03,-0.12,0.12,0.06,-0.06,0.43,-0.43
6.5,0.000228,1.138,9.66,-9.66,9.4,-9.4,1.79,-1.79,0.76,-0.76,-0.12,0.12,-0.11,0.11,-0.01,0.01,-0.83,0.83,0.07,-0.07,0.45,-0.45
6.5,0.000262,1.01,1.37,-1.37,1.81,-1.81,1.38,-1.38,0.83,-0.83,-0.16,0.16,-0.09,0.09,-0.03,0.03,-0.05,0.05,0.07,-0.07,0.45,-0.45
8.5,0.000158,1.031,6.9,-6.9,3.99,-3.99,3.87,-3.87,2.57,-2.57,-0.32,0.32,-0.34,0.34,-0.09,0.09,-9.71,9.71,0.06,-0.06,0.78,-0.78
8.5,0.000177,1.058,3.18,-3.18,2.81,-2.81,1.46,-1.46,1.25,-1.25,-0.17,0.17,-0.39,0.39,-0.03,0.03,-0.77,0.77,0.06,-0.06,0.48,-0.48
