#: table_doi: 10.17182/hepdata.68951.v1/t4
#: name: Table 4
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 225$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table4.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 225.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],225.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
1.5,3.48e-05,0.542,7.92,-7.92,4.96,-4.96,3.65,-3.65,1.81,-1.81,-0.24,0.24,-0.58,0.58,-0.07,0.07,-8.62,8.62,0.06,-0.06,0.58,-0.58
2.0,4.64e-05,0.733,4.48,-4.48,4.31,-4.31,2.83,-2.83,1.48,-1.48,-0.26,0.26,-0.66,0.66,-0.09,0.09,-6.25,6.25,0.07,-0.07,0.58,-0.58
2.0,5.26e-05,0.737,4.53,-4.53,3.93,-3.93,1.9,-1.9,1.32,-1.32,-0.25,0.25,-0.4,0.4,-0.08,0.08,-2.96,2.96,0.07,-0.07,0.57,-0.57
2.5,5.8e-05,0.815,4.08,-4.08,4.15,-4.15,2.93,-2.93,2.07,-2.07,-0.33,0.33,-0.82,0.82,-0.1,0.1,-7.28,7.28,0.07,-0.07,0.69,-0.69
2.5,6.58e-05,0.78,2.62,-2.62,3.03,-3.03,1.54,-1.54,1.27,-1.27,-0.2,0.2,-0.57,0.57,-0.05,0.05,-2.19,2.19,0.06,-0.06,0.47,-0.47
2.5,7.59e-05,0.725,4.28,-4.28,3.45,-3.45,1.84,-1.84,0.89,-0.89,-0.21,0.21,-0.28,0.28,-0.07,0.07,-1.48,1.48,0.07,-0.07,0.51,-0.51
3.5,8.12e-05,0.819,4.14,-4.14,4.05,-4.05,2.65,-2.65,1.7,-1.7,-0.23,0.23,-0.47,0.47,-0.05,0.05,-5.9,5.9,0.06,-0.06,0.54,-0.54
3.5,9.21e-05,0.838,2.19,-2.19,2.86,-2.86,1.69,-1.69,1.53,-1.53,-0.25,0.25,-0.38,0.38,-0.06,0.06,-2.47,2.47,0.07,-0.07,0.56,-0.56
3.5,0.000106,0.875,2.01,-2.01,2.47,-2.47,1.69,-1.69,1.24,-1.24,-0.24,0.24,-0.41,0.41,-0.07,0.07,-1.58,1.58,0.07,-0.07,0.55,-0.55
3.5,0.000141,0.81,2.53,-2.53,2.45,-2.45,2.27,-2.27,0.62,-0.62,-0.22,0.22,-0.27,0.27,-0.07,0.07,-0.38,0.38,0.07,-0.07,0.52,-0.52
5.0,0.000116,0.98,4.1,-4.1,4.01,-4.01,2.85,-2.85,2.15,-2.15,-0.3,0.3,-0.57,0.57,-0.08,0.08,-6.92,6.92,0.07,-0.07,0.67,-0.67
5.0,0.000132,0.94,2.05,-2.05,2.8,-2.8,1.53,-1.53,1.41,-1.41,-0.22,0.22,-0.44,0.44,-0.05,0.05,-1.98,1.98,0.06,-0.06,0.5,-0.5
5.0,0.000143,1.048,10.24,-10.24,9.23,-9.23,1.66,-1.66,1.38,-1.38,-0.22,0.22,-0.18,0.18,-0.05,0.05,0.98,-0.98,0.05,-0.05,0.55,-0.55
5.0,0.000152,0.984,1.65,-1.65,2.2,-2.2,1.41,-1.41,0.98,-0.98,-0.19,0.19,-0.3,0.3,-0.05,0.05,-0.78,0.78,0.07,-0.07,0.46,-0.46
5.0,0.000201,0.92,1.16,-1.16,1.87,-1.87,1.58,-1.58,0.63,-0.63,-0.16,0.16,-0.22,0.22,-0.04,0.04,0.05,-0.05,0.06,-0.06,0.42,-0.42
6.5,0.000151,1.07,4.19,-4.19,4.02,-4.02,2.88,-2.88,1.87,-1.87,-0.23,0.23,-0.52,0.52,-0.06,0.06,-6.52,6.52,0.06,-0.06,0.56,-0.56
6.5,0.000171,1.012,1.96,-1.96,2.54,-2.54,1.46,-1.46,1.98,-1.98,-0.23,0.23,-0.49,0.49,-0.05,0.05,-1.43,1.43,0.06,-0.06,0.56,-0.56
6.5,0.000183,1.043,6.82,-6.82,7.36,-7.36,2.23,-2.23,2.44,-2.44,-0.29,0.29,-0.34,0.34,-0.09,0.09,-0.63,0.63,0.08,-0.08,1.26,-1.26
6.5,0.000197,1.026,1.57,-1.57,2.19,-2.19,1.3,-1.3,1.06,-1.06,-0.17,0.17,-0.28,0.28,-0.03,0.03,-0.45,0.45,0.06,-0.06,0.43,-0.43
6.5,0.000228,1.067,6.81,-6.81,7.39,-7.39,1.62,-1.62,1.03,-1.03,-0.18,0.18,-0.15,0.15,-0.04,0.04,-0.33,0.33,0.07,-0.07,0.62,-0.62
6.5,0.000262,1.009,0.91,-0.91,1.76,-1.76,1.35,-1.35,0.91,-0.91,-0.17,0.17,-0.22,0.22,-0.03,0.03,-0.15,0.15,0.06,-0.06,0.44,-0.44
6.5,0.00033,0.99,9.32,-9.32,6.57,-6.57,1.5,-1.5,0.8,-0.8,-0.12,0.12,-0.03,0.03,-0.01,0.01,0.04,-0.04,0.06,-0.06,0.23,-0.23
6.5,0.000414,0.969,1.14,-1.14,1.85,-1.85,1.44,-1.44,0.74,-0.74,-0.15,0.15,0.06,-0.06,-0.03,0.03,0.13,-0.13,0.07,-0.07,0.44,-0.44
8.5,0.000197,1.011,4.58,-4.58,4.01,-4.01,3.3,-3.3,2.08,-2.08,-0.27,0.27,-0.49,0.49,-0.07,0.07,-7.94,7.94,0.06,-0.06,0.63,-0.63
8.5,0.000224,1.064,1.92,-1.92,2.4,-2.4,1.47,-1.47,2.14,-2.14,-0.22,0.22,-0.26,0.26,-0.05,0.05,-0.96,0.96,0.06,-0.06,0.64,-0.64
8.5,0.00024,1.195,3.52,-3.52,3.88,-3.88,1.65,-1.65,2.39,-2.39,-0.28,0.28,-0.25,0.25,-0.07,0.07,0.47,-0.47,0.05,-0.05,0.91,-0.91
8.5,0.000258,1.119,1.58,-1.58,1.9,-1.9,1.42,-1.42,1.54,-1.54,-0.21,0.21,-0.23,0.23,-0.04,0.04,-0.55,0.55,0.05,-0.05,0.56,-0.56
8.5,0.000299,1.188,4.2,-4.2,3.72,-3.72,1.39,-1.39,1.1,-1.1,-0.18,0.18,-0.08,0.08,-0.03,0.03,0.55,-0.55,0.05,-0.05,0.53,-0.53
8.5,0.000342,1.057,0.88,-0.88,1.7,-1.7,1.33,-1.33,0.97,-0.97,-0.17,0.17,-0.2,0.2,-0.04,0.04,-0.2,0.2,0.06,-0.06,0.44,-0.44
8.5,0.000433,1.151,4.88,-4.88,5.71,-5.71,1.51,-1.51,0.9,-0.9,-0.14,0.14,-0.06,0.06,-0.02,0.02,0.1,-0.1,0.06,-0.06,0.42,-0.42
8.5,0.000541,1.02,0.92,-0.92,1.73,-1.73,1.27,-1.27,0.73,-0.73,-0.12,0.12,0.03,-0.03,-0.01,0.01,0.4,-0.4,0.06,-0.06,0.37,-0.37
8.5,0.000838,0.943,1.01,-1.01,1.76,-1.76,1.31,-1.31,0.85,-0.85,-0.14,0.14,0.05,-0.05,-0.02,0.02,0.12,-0.12,0.06,-0.06,0.43,-0.43
