#: table_doi: 10.17182/hepdata.68951.v1/t5
#: name: Table 5
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{-}$ for NC $e^{-}p$ scattering at $\sqrt{s} = 318$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{-}$.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 318.0
#: RE,E- P --> E- X
#: SQRT(S) [GeV],318.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{-}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
60.0,0.0008,1.483,1.01,-1.01,1.84,-1.84,1.19,-1.19,0.16,-0.16,-0.04,0.04,-0.03,0.03,0.0,-0.0,-0.04,0.04,0.01,-0.01,-0.07,0.07
90.0,0.0013,1.466,0.82,-0.82,1.63,-1.63,1.12,-1.12,0.03,-0.03,-0.02,0.02,-0.02,0.02,0.0,-0.0,-0.04,0.04,0.03,-0.03,-0.08,0.08
90.0,0.0015,1.422,1.2,-1.2,1.1,-1.1,1.43,-1.43,0.98,-0.98,-1.09,1.09,-0.13,0.13,0.0,-0.0,-0.04,0.04,-0.11,0.11,-0.21,0.21
90.0,0.002,1.27,3.41,-3.41,3.3,-3.3,1.46,-1.46,0.95,-0.95,-0.82,0.82,0.24,-0.24,0.01,-0.01,-0.03,0.03,0.06,-0.06,-0.17,0.17
120.0,0.0016,1.439,0.92,-0.92,1.71,-1.71,1.1,-1.1,0.05,-0.05,-0.02,0.02,-0.02,0.02,0.0,-0.0,-0.04,0.04,-0.01,0.01,-0.07,0.07
120.0,0.002,1.356,0.7,-0.7,0.91,-0.91,1.2,-1.2,0.61,-0.61,-0.71,0.71,-0.1,0.1,0.0,-0.0,-0.04,0.04,-0.08,0.08,-0.18,0.18
120.0,0.0032,1.218,0.96,-0.96,1.08,-1.08,1.03,-1.03,0.25,-0.25,-0.17,0.17,-0.02,0.02,0.0,-0.0,-0.04,0.04,-0.02,0.02,-0.11,0.11
150.0,0.002,1.355,1.03,-1.03,1.77,-1.77,1.07,-1.07,0.04,-0.04,-0.02,0.02,0.0,-0.0,0.0,-0.0,-0.04,0.04,0.01,-0.01,-0.07,0.07
150.0,0.0032,1.229,0.59,-0.59,0.85,-0.85,1.07,-1.07,0.37,-0.37,-0.38,0.38,-0.02,0.02,0.0,-0.0,-0.04,0.04,-0.02,0.02,-0.14,0.14
150.0,0.005,1.109,0.71,-0.71,1.13,-1.13,1.03,-1.03,0.15,-0.15,-0.07,0.07,0.01,-0.01,0.0,-0.0,-0.05,0.05,-0.01,0.01,-0.12,0.12
150.0,0.008,0.952,0.97,-0.97,1.72,-1.72,1.09,-1.09,0.07,-0.07,-0.1,0.1,-0.01,0.01,0.0,-0.0,-0.04,0.04,-0.27,0.27,-0.13,0.13
150.0,0.013,0.806,1.38,-1.38,2.98,-2.98,1.21,-1.21,0.1,-0.1,-0.12,0.12,0.07,-0.07,0.0,-0.0,-0.04,0.04,-0.21,0.21,-0.17,0.17
200.0,0.0026,1.284,1.3,-1.3,1.85,-1.85,1.06,-1.06,0.06,-0.06,-0.02,0.02,-0.01,0.01,0.0,-0.0,-0.04,0.04,0.01,-0.01,-0.06,0.06
200.0,0.0032,1.25,1.08,-1.08,0.84,-0.84,1.09,-1.09,0.39,-0.39,-0.44,0.44,-0.06,0.06,0.01,-0.01,-0.04,0.04,-0.06,0.06,-0.14,0.14
200.0,0.005,1.111,0.59,-0.59,0.53,-0.53,1.0,-1.0,0.14,-0.14,-0.1,0.1,0.0,-0.0,0.0,-0.0,-0.04,0.04,-0.09,0.09,-0.09,0.09
200.0,0.008,0.944,0.6,-0.6,0.66,-0.66,1.01,-1.01,0.11,-0.11,-0.06,0.06,0.0,-0.0,0.0,-0.0,-0.05,0.05,-0.12,0.12,-0.07,0.07
200.0,0.013,0.799,0.59,-0.59,0.54,-0.54,1.0,-1.0,0.05,-0.05,-0.05,0.05,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.2,0.2,-0.06,0.06
200.0,0.02,0.696,0.67,-0.67,0.62,-0.62,1.0,-1.0,0.03,-0.03,-0.04,0.04,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.17,0.17,-0.1,0.1
200.0,0.032,0.58,0.74,-0.74,0.68,-0.68,1.07,-1.07,0.09,-0.09,-0.04,0.04,-0.09,0.09,0.0,-0.0,-0.04,0.04,-0.29,0.29,-0.16,0.16
200.0,0.05,0.513,0.81,-0.81,0.74,-0.74,1.02,-1.02,0.08,-0.08,-0.04,0.04,-0.07,0.07,0.0,-0.0,-0.04,0.04,-0.2,0.2,-0.12,0.12
200.0,0.08,0.438,0.77,-0.77,0.74,-0.74,1.17,-1.17,0.18,-0.18,-0.04,0.04,-0.05,0.05,0.0,-0.0,-0.04,0.04,-0.21,0.21,-0.11,0.11
200.0,0.13,0.364,1.67,-1.67,2.15,-2.15,1.17,-1.17,0.29,-0.29,-0.05,0.05,0.03,-0.03,0.0,-0.0,-0.04,0.04,-0.21,0.21,-0.15,0.15
200.0,0.18,0.329,1.08,-1.08,0.77,-0.77,1.22,-1.22,0.26,-0.26,-0.05,0.05,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.15,0.15,-0.08,0.08
250.0,0.0033,1.27,1.49,-1.49,1.84,-1.84,1.06,-1.06,0.05,-0.05,-0.01,0.01,0.0,-0.0,0.0,-0.0,-0.05,0.05,0.02,-0.02,-0.06,0.06
250.0,0.005,1.124,0.88,-0.88,0.78,-0.78,1.03,-1.03,0.2,-0.2,-0.23,0.23,0.01,-0.01,0.0,-0.0,-0.04,0.04,-0.02,0.02,-0.11,0.11
250.0,0.008,0.961,0.66,-0.66,0.56,-0.56,1.0,-1.0,0.09,-0.09,-0.05,0.05,-0.01,0.01,0.0,-0.0,-0.05,0.05,-0.06,0.06,-0.08,0.08
250.0,0.013,0.817,0.69,-0.69,0.54,-0.54,1.02,-1.02,0.17,-0.17,-0.06,0.06,-0.03,0.03,0.0,-0.0,-0.05,0.05,-0.18,0.18,-0.06,0.06
250.0,0.02,0.69,0.75,-0.75,0.63,-0.63,1.0,-1.0,0.16,-0.16,-0.05,0.05,-0.08,0.08,0.0,-0.0,-0.04,0.04,-0.17,0.17,-0.09,0.09
250.0,0.032,0.589,0.78,-0.78,0.67,-0.67,1.04,-1.04,0.19,-0.19,-0.04,0.04,-0.11,0.11,0.0,-0.0,-0.04,0.04,-0.26,0.26,-0.13,0.13
250.0,0.05,0.508,0.83,-0.83,0.6,-0.6,1.04,-1.04,0.07,-0.07,-0.04,0.04,-0.1,0.1,0.0,-0.0,-0.05,0.05,-0.14,0.14,-0.1,0.1
