x_Bj,"cross section (+-), data",err,calculated cross section,"calculated, normalized"
2.47E-05,0.781,0.0653697,0.7503272821,0.9003927385
2.93E-05,0.788,0.0217488,0.7288804527,0.8746565432
5.00E-05,0.823,0.0223033,0.6650681754,0.7980818105
8.00E-05,0.762,0.0156972,0.6129124771,0.7354949725
1.30E-04,0.723,0.0153999,0.5625644092,0.675077291
2.00E-04,0.679,0.0150738,0.5207189821,0.6248627785
3.20E-04,0.627,0.0154869,0.4779195214,0.5735034257
5.00E-04,0.575,0.0159275,0.439862904,0.5278354848
1.00E-03,0.51,0.012291,0.3857834895,0.4629401874
3.20E-03,0.426,0.0123114,0.3212164563,0.3854597476
1.30E-02,0.358,0.019869,0.2760280438,0.3312336525
