# err: percent error
s	qsq2	x	y	sig	err
319	1.5	0.185e-4	0.800	0.602	11.35
319	1.5	0.220e-4	0.675	0.695	3.29
301	1.5	0.320e-4	0.520	0.821	6.60
319	1.5	0.320e-4	0.463	0.755	3.02
319	1.5	0.500e-4	0.296	0.763	2.66
319	1.5	0.800e-4	0.185	0.702	2.90
319	1.5	0.130e-4	0.114	0.649	3.30
319	1.5	0.200e-4	0.074	0.616	3.91
319	1.5	0.320e-3	0.046	0.580	3.34
319	1.5	0.500e-3	0.030	0.550	7.71
319	1.5	0.800e-3	0.019	0.493	3.69
319	1.5	0.100e-2	0.015	0.465	6.58
319	8.5	0.105e-3	0.800	1.178	5.90
319	8.5	0.124e-3	0.675	1.209	3.50
301	8.5	0.139e-3	0.678	1.181	6.47
301	8.5	0.200e-3	0.471	1.221	1.95
319	8.5	0.200e-3	0.420	1.178	2.81
319	8.5	0.320e-3	0.262	1.115	1.41
319	8.5	0.500e-3	0.168	1.022	1.44
319	8.5	0.800e-3	0.105	0.936	1.40
319	8.5	0.130e-2	0.065	0.844	1.45
319	8.5	0.200e-2	0.042	0.773	1.83
319	8.5	0.320e-2	0.026	0.664	1.91
319	8.5	0.500e-2	0.017	0.635	1.73
301	27	0.335e-3	0.894	1.402	5.75
301	27	0.410e-3	0.730	1.417	2.87
301	27	0.500e-3	0.599	1.418	2.28
319	27	0.500e-3	0.534	1.420	1.91
301	27	0.800e-3	0.374	1.296	2.80
319	27	0.800e-3	0.333	1.298	1.13
319	27	0.130e-2	0.205	1.164	1.08
319	27	0.200e-2	0.133	1.054	1.09
319	27	0.320e-2	0.083	0.920	1.13
319	27	0.500e-2	0.053	0.806	1.14
319	27	0.800e-2	0.033	0.712	1.16
319	27	0.130e-1	0.021	0.639	1.17
319	200	0.260e-2	0.760	1.286	3.58
301	200	0.320e-2	0.693	1.171	4.73
319	200	0.320e-2	0.618	1.221	3.18
301	200	0.500e-2	0.443	1.074	2.35
319	200	0.500e-2	0.395	1.103	1.66
319	200	0.800e-2	0.247	0.934	1.33

