	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
0	0.15	318.0	5.02e-06	0.185	3.79	-3.79	1.5	-1.5	3.62	-3.62	1.39	-1.39	0.35	-0.35	-0.21	0.21	-0.17	0.17	-0.01	0.01	0.0	-0.0	0.01	-0.01
1	0.2	318.0	6.69e-06	0.22699999999999998	1.65	-1.65	0.78	-0.78	1.7	-1.7	0.86	-0.86	0.57	-0.57	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.01	-0.01
2	0.2	318.0	8.49e-06	0.223	1.61	-1.61	0.61	-0.61	2.19	-2.19	1.06	-1.06	0.55	-0.55	-0.26	0.26	-0.06	0.06	0.0	-0.0	0.0	-0.0	0.0	-0.0
3	0.2	318.0	1.1e-05	0.20800000000000002	2.79	-2.79	1.5	-1.5	2.83	-2.83	1.01	-1.01	0.34	-0.34	-0.08	0.08	-0.18	0.18	0.0	-0.0	0.0	-0.0	0.01	-0.01
4	0.2	318.0	3.98e-05	0.21100000000000002	14.93	-14.93	11.96	-11.96	5.18	-5.18	0.33	-0.33	4.7	-4.7	2.93	-2.93	1.57	-1.57	-0.03	0.03	-0.02	0.02	0.15	-0.15
5	0.2	318.0	0.000251	0.18	13.49	-13.49	6.17	-6.17	3.0	-3.0	0.32	-0.32	1.39	-1.39	-1.67	1.67	1.19	-1.19	0.01	-0.01	0.02	-0.02	0.02	-0.02
6	0.25	318.0	8.36e-06	0.265	1.46	-1.46	0.73	-0.73	1.92	-1.92	1.17	-1.17	0.63	-0.63	-0.23	0.23	0.45	-0.45	0.0	-0.0	0.0	-0.0	0.01	-0.01
7	0.25	318.0	1.06e-05	0.26	1.29	-1.29	0.66	-0.66	1.84	-1.84	1.11	-1.11	0.63	-0.63	-0.1	0.1	0.32	-0.32	0.0	-0.0	0.0	-0.0	0.01	-0.01
8	0.25	318.0	1.3800000000000002e-05	0.249	1.27	-1.27	0.72	-0.72	1.85	-1.85	1.24	-1.24	0.61	-0.61	-0.22	0.22	0.08	-0.08	0.0	-0.0	0.0	-0.0	0.0	-0.0
9	0.25	318.0	2.3e-05	0.243	1.41	-1.41	1.5	-1.5	2.37	-2.37	2.23	-2.23	0.38	-0.38	-0.6	0.6	0.43	-0.43	0.0	-0.0	-0.02	0.02	0.01	-0.01
10	0.25	318.0	3.98e-05	0.23600000000000002	3.32	-3.32	1.54	-1.54	2.79	-2.79	0.5	-0.5	1.03	-1.03	0.29	-0.29	0.21	-0.21	0.0	-0.0	0.01	-0.01	0.02	-0.02
11	0.25	318.0	0.00011	0.19899999999999998	3.96	-3.96	1.5	-1.5	2.5	-2.5	0.77	-0.77	0.32	-0.32	0.06	-0.06	-0.58	0.58	0.0	-0.0	0.0	-0.0	0.01	-0.01
12	0.25	318.0	0.000251	0.196	3.75	-3.75	1.44	-1.44	3.26	-3.26	-0.23	0.23	0.35	-0.35	0.51	-0.51	-0.21	0.21	0.01	-0.01	0.02	-0.02	0.02	-0.02
13	0.25	318.0	0.000394	0.19399999999999998	4.16	-4.16	1.5	-1.5	3.61	-3.61	1.65	-1.65	0.46	-0.46	-0.29	0.29	-0.2	0.2	0.0	-0.0	0.0	-0.0	0.02	-0.02
14	0.25	318.0	0.00158	0.198	11.0	-11.0	5.29	-5.29	2.41	-2.41	0.29	-0.29	0.01	-0.01	-1.76	1.76	1.08	-1.08	0.01	-0.01	0.03	-0.03	0.02	-0.02
