sqrt(s)	qsq2	x	f2
296	12	0.000261	0.045983113028175815
296	12	0.000383	0.04205078047251014
296	12	0.000562	0.038380517870174095
296	12	0.000825	0.034950064200189784
296	12	0.00133	0.031012071214874162
296	12	0.00237	0.02671208862825678
296	12	0.00421	0.022899603582031552
296	12	0.0075	0.019499212143696196
296	12	0.0133	0.017957077881778475
296	20	0.000261	0.05635932604511284
296	20	0.000383	0.051232525850930695
296	20	0.000562	0.0464668861621013
296	20	0.000825	0.042032343727249254
296	20	0.00133	0.03696580202780178
296	20	0.00237	0.03146396924215135
296	20	0.00421	0.026616102984155
296	20	0.0075	0.02231964400623266
296	20	0.0133	0.02038073764360569
296	50	0.000261	0.07782724558778677
296	50	0.000383	0.07005502890845
296	50	0.000562	0.06288346768762189
296	50	0.000825	0.056263328902897834
296	50	0.00133	0.048575242597082104
296	50	0.00237	0.04070396082601186
296	50	0.00421	0.033616232392814895
296	50	0.0075	0.027378594443137557
296	50	0.0133	0.02479690470689361

