q2	cme	x	redx
0.045	301.0	6.21e-07	0.06586388306047408
0.065	301.0	8.97e-07	0.08840178055287867
0.065	301.0	1.02e-06	0.09094581449221506
0.085	301.0	1.17e-06	0.10913403884764786
0.085	301.0	1.34e-06	0.11253337394174835
0.085	301.0	1.56e-06	0.11530305676610351
0.1	301.0	1.51e-06	0.12665242805225607
0.1	301.0	1.73e-06	0.12986033848187026
0.1	301.0	2.02e-06	0.13246362434039086
0.1	301.0	2.43e-06	0.1345193195739833
0.15	301.0	2.07e-06	0.1691229277413745
0.15	301.0	2.36e-06	0.17447440516047286
0.15	301.0	2.76e-06	0.17912257556089298
0.15	301.0	3.31e-06	0.18273012515677042
0.15	301.0	4.14e-06	0.18529652091003587
0.15	319.0	5.02e-06	0.18458944187995305
0.2	301.0	3.15e-06	0.21674022059400502
0.2	301.0	3.68e-06	0.22259788511165873
0.2	301.0	4.41e-06	0.22584175870972756
0.2	301.0	5.52e-06	0.22520226672554683
0.2	319.0	6.69e-06	0.22416990727264038
0.2	319.0	8.49e-06	0.22084139405868838
0.2	319.0	1.1e-05	0.21678937925225253
0.2	319.0	3.98e-05	0.19521276705323826
0.2	319.0	0.000251	0.16639050949289097
0.25	301.0	3.94e-06	0.25574143942321065
0.25	301.0	4.6e-06	0.2601896580894023
0.25	301.0	5.52e-06	0.26160912342880094
0.25	301.0	6.900000000000002e-06	0.2606825178726495
0.25	319.0	8.36e-06	0.25932835118454395
0.25	319.0	1.06e-05	0.2552269277607289
0.25	319.0	1.3800000000000003e-05	0.25015495370039037
0.25	319.0	2.3e-05	0.2397414193729085
0.25	319.0	3.98e-05	0.22845475926754505
0.25	319.0	0.00011	0.20829956852450932
0.25	319.0	0.000251	0.19307996988959567
0.25	319.0	0.000394	0.18531446597967835
0.25	301.0	0.00158	0.16436061590619175
0.35	301.0	5.12e-06	0.3144398586116875
0.35	319.0	5.12e-06	0.3227754917990768
0.35	301.0	6.1e-06	0.32103993219342486
0.35	301.0	6.62e-06	0.322635576768053
0.35	301.0	8.28e-06	0.3235694274134436
0.35	319.0	1e-05	0.3233055762667763
0.35	319.0	1.27e-05	0.3183050743431373
0.35	319.0	1.65e-05	0.3118367182747652
0.35	319.0	3.2e-05	0.2938758273900855
0.35	319.0	6.620000000000001e-05	0.274008451102325
0.35	319.0	0.00013000000000000002	0.25631970110153857
0.35	319.0	0.00022	0.24322088085794696
0.35	319.0	0.0005	0.22422210556522348
0.35	319.0	0.00251	0.1932274246595931
0.4	301.0	8.83e-06	0.35121647805157125
0.4	301.0	1.1e-05	0.3494105511478683
0.4	319.0	1.33e-05	0.3471056651869419
0.4	319.0	1.7e-05	0.34057632954287453
0.4	319.0	2.2e-05	0.3330434621734301
0.4	319.0	3.68e-05	0.31727747797566347
0.4	319.0	8.83e-05	0.29068631162897496
0.4	319.0	0.000176	0.27084147484415155
0.4	319.0	0.000294	0.25688267783613183
0.4	319.0	0.0006309999999999999	0.23767462700766778
0.5	319.0	7.32e-06	0.4006378087302846
0.5	301.0	8.599999999999999e-06	0.3975991668559931
0.5	319.0	1.58e-05	0.3969008182257139
0.5	319.0	2.12e-05	0.3875406317535703
0.5	319.0	2.7600000000000007e-05	0.37820843433935536
0.5	319.0	3.98e-05	0.36473448511325934
0.5	319.0	0.0001	0.3310633875325586
0.5	319.0	0.000251	0.2996463791560921
0.5	319.0	0.000368	0.28744145006382266
0.5	319.0	0.0008	0.2644928128399821
0.5	301.0	0.0032	0.2303831926270652
0.65	319.0	9.52e-06	0.46582512299588036
0.65	301.0	1.12e-05	0.46190060203396194
0.65	319.0	1.58e-05	0.4676485955912233
0.65	301.0	1.64e-05	0.46347458426456495
0.65	319.0	3.98e-05	0.4315474848267358
0.65	319.0	5.98e-05	0.4129874680967414
0.65	319.0	0.0001	0.3898289651570828
0.65	319.0	0.000251	0.35067197333140504
0.65	319.0	0.000478	0.32546071452844394
0.65	319.0	0.0008	0.3068211324058303
0.65	319.0	0.0032	0.26407216241191067
0.85	319.0	1.24e-05	0.5391137370444345
0.85	301.0	1.3800000000000003e-05	0.531536267983979
0.85	301.0	2e-05	0.5363255758883596
0.85	319.0	2e-05	0.540851078993915
0.85	319.0	3.98e-05	0.509586535734014
0.85	319.0	5e-05	0.4970403968061432
0.85	319.0	0.0001	0.4583899063186359
0.85	319.0	0.000251	0.4096720604521987
0.85	319.0	0.0008	0.3551015044038013
0.85	301.0	0.0032	0.3016588081802458
1.2	319.0	1.76e-05	0.6435406787196039
1.2	301.0	2e-05	0.634954244217398
1.2	319.0	2e-05	0.6480768021438911
1.2	301.0	3.2e-05	0.63305049004938
1.2	319.0	3.2e-05	0.636997446156724
1.2	319.0	6.31e-05	0.5931834040897239
1.2	319.0	8e-05	0.5762007438351696
1.2	319.0	0.00013000000000000002	0.5415466914989975
1.2	319.0	0.00015800000000000002	0.527902268393021
1.2	319.0	0.000398	0.46672170201475044
1.2	319.0	0.0013	0.3983605635880105
1.2	319.0	0.005	0.3356328998733587
1.5	319.0	1.85e-05	0.7000851163730595
1.5	319.0	2.2e-05	0.7162032211689148
1.5	301.0	3.2e-05	0.7096328285984529
1.5	319.0	3.2e-05	0.7174634022421813
1.5	319.0	5e-05	0.6910503570929719
1.5	319.0	8e-05	0.6534410933526856
1.5	319.0	0.00013000000000000002	0.6128905044917339
1.5	319.0	0.0002	0.5776525509506732
1.5	319.0	0.00032	0.5408132733651195
1.5	319.0	0.0005	0.5077777219175228
1.5	319.0	0.0008	0.4750316895035746
1.5	319.0	0.001	0.4602596530675153
1.5	301.0	0.0032	0.39155332322785763
1.5	319.0	0.013	0.33859100199848724
2.0	319.0	2.47e-05	0.7977904783288114
2.0	319.0	2.93e-05	0.8148737913625783
2.0	301.0	3.27e-05	0.8013659518384031
2.0	301.0	5e-05	0.798362212521247
2.0	319.0	5e-05	0.8042726178323227
2.0	319.0	8e-05	0.7634482456584841
2.0	319.0	0.00013000000000000002	0.7149116105987809
2.0	319.0	0.0002	0.6718189892942963
2.0	319.0	0.00032	0.6265217515662079
2.0	319.0	0.0005	0.5857466522118442
2.0	319.0	0.001	0.5271767212889782
2.0	319.0	0.0032	0.4423372765838677
2.0	301.0	0.013	0.3760857503380517
2.7	319.0	3.09e-05	0.890664405931584
2.7	319.0	3.66e-05	0.9163237704274845
2.7	301.0	4.09e-05	0.9000726939469395
2.7	301.0	5e-05	0.9102382080071044
2.7	319.0	5e-05	0.9248086746944308
2.7	301.0	8e-05	0.8850072290900663
2.7	319.0	8e-05	0.8892986055842498
2.7	319.0	0.00013000000000000002	0.8335045257945728
2.7	319.0	0.0002	0.7813763763383755
2.7	319.0	0.00032	0.7258275429977168
2.7	319.0	0.0005	0.6756848988770368
2.7	319.0	0.0008	0.6259950481252243
2.7	319.0	0.0013	0.5781800824554129
2.7	319.0	0.002	0.5387666123242859
2.7	319.0	0.005	0.46415762556824414
2.7	319.0	0.02	0.41649323477952993
3.5	319.0	4.320000000000001e-05	0.9991159564540545
3.5	319.0	5.12e-05	1.0175862746274695
3.5	301.0	5.73e-05	0.9988478629934712
3.5	301.0	8e-05	0.9941517731119489
3.5	319.0	8e-05	1.003404060557158
3.5	319.0	0.00013000000000000002	0.9454388661002818
3.5	319.0	0.0002	0.8854689517516002
3.5	319.0	0.00032	0.8200935868583523
3.5	319.0	0.0005	0.760643491244548
3.5	319.0	0.0008	0.7016652735105714
3.5	319.0	0.0013	0.6448834383190724
3.5	319.0	0.002	0.5981094150080789
3.5	319.0	0.008	0.4698474379587362
4.5	319.0	6.18e-05	1.1055456914462491
4.5	319.0	7.32e-05	1.1125183463533161
4.5	301.0	8.18e-05	1.0910685151711899
4.5	301.0	0.00013000000000000002	1.0547958161496442
4.5	319.0	0.00013000000000000002	1.0602179212618412
4.5	319.0	0.0002	0.994139226507812
4.5	319.0	0.00032	0.9187499656209904
4.5	319.0	0.0005	0.8493314763519195
4.5	319.0	0.0008	0.7802362108059469
4.5	319.0	0.0013	0.7137423905186089
4.5	319.0	0.002	0.658911965455253
4.5	319.0	0.0032	0.6034571342167823
4.5	319.0	0.013	0.4876973272032644
6.5	319.0	8.03e-05	1.2249318045782616
6.5	301.0	9.51e-05	1.207497677554921
6.5	319.0	9.51e-05	1.2425626106169274
6.5	301.0	0.00013000000000000002	1.2134078055194015
6.5	319.0	0.00013000000000000002	1.2292104694808372
6.5	301.0	0.0002	1.1591228031088443
6.5	319.0	0.0002	1.1641822839126246
6.5	319.0	0.00032	1.075467231745021
6.5	319.0	0.0005	0.9902273055719548
6.5	319.0	0.0008	0.904508802809366
6.5	319.0	0.0013	0.8217721182623113
6.5	319.0	0.002	0.7535705651137073
6.5	319.0	0.0032	0.6846079027058413
6.5	319.0	0.005	0.6243831592918805
6.5	319.0	0.013	0.5404194152866113
6.5	319.0	0.02	0.5404201193576199
8.5	319.0	0.000105	1.3177573634758009
8.5	319.0	0.000124	1.3341276154442148
8.5	301.0	0.000139	1.3049101668178964
8.5	301.0	0.0002	1.2799098328693328
8.5	319.0	0.0002	1.2908046215774007
8.5	319.0	0.00032	1.1974883529816598
8.5	319.0	0.0005	1.1008288766893906
8.5	319.0	0.0008	1.0018114595731598
8.5	319.0	0.0013	0.9058191070069007
8.5	319.0	0.002	0.826652167648684
8.5	319.0	0.0032	0.7467538998594239
8.5	319.0	0.005	0.6767344046601943
8.5	319.0	0.02	0.5794407358253283
10.0	301.0	0.00013000000000000002	1.327759874967944
