sqrt(s)	qsq2	x	f2

296	12	0.000261	0.047338993480451584
296	12	0.000383	0.043293106205698983
296	12	0.000562	0.03951400060349609
296	12	0.000825	0.03598524697112176
296	12	0.00133	0.031932987447690755
296	12	0.00237	0.027496908142341132
296	12	0.00421	0.02356984472474727
296	12	0.0075	0.020074768324379766
296	12	0.0133	0.018489963074061345
296	20	0.000261	0.05804428261703253
296	20	0.000383	0.05276672702541237
296	20	0.000562	0.04785790089544923
296	20	0.000825	0.043293974468922636
296	20	0.00133	0.038078550027182564
296	20	0.00237	0.03240342260482243
296	20	0.00421	0.027410281041320154
296	20	0.0075	0.022993600471861456
296	20	0.0133	0.02100051784253404
296	50	0.000261	0.08011964559560067
296	50	0.000383	0.07193505632834772
296	50	0.000562	0.06472664485340308
296	50	0.000825	0.05791020528426553
296	50	0.00133	0.049983470594709534
296	50	0.00237	0.0417813832985964
296	50	0.00421	0.034657610365864684
296	50	0.0075	0.0283443214079693
296	50	0.0133	0.025523587621578508
