i,jT,exp,sigma
0,0.05297662953105802,0.22925830741785175,0.04569116623849538
1,0.15633286578783345,0.6561860949266698,0.027007306464731755
2,0.2596891020446089,0.9936122050093114,0.021947564065307356
3,0.3630453383013843,1.2147339962975112,0.019849711139180454
4,0.4664015745581598,1.2692965162257674,0.019418390934515434
5,0.5697578108149353,1.1946320152713106,0.02001601922563589
6,0.6731140470717107,1.0012701025431028,0.021863473472331304
7,0.7764702833284861,0.8461976774838451,0.023782574707724703
8,0.8798265195852616,0.6863390664659693,0.026407386650992314
9,0.983182755842037,0.4987205768881043,0.030978910540439487
10,1.0865389920988124,0.37092941179297506,0.03592106040535498
11,1.1898952283555877,0.24170239091026116,0.04449941594899848
12,1.2932514646123634,0.15555104365511857,0.05547001962252291
13,1.3966077008691387,0.10242437951444751,0.06835859270246633
14,1.499963937125914,0.07227140797514739,0.08137884587711594
15,1.6033201733826896,0.042118436435847485,0.10660035817780521
16,1.7066764096394649,0.032546064518609426,0.12126781251816648
17,1.8100326458962406,0.022973692601371356,0.14433756729740646
18,1.9133888821530158,0.014837176471719032,0.1796053020267749
19,2.016745118409791,0.011486846300685678,0.20412414523193154
20,2.120101354666567,0.006222041746204729,0.2773500981126146
21,2.223457590923342,0.008136516129652374,0.24253562503633297
22,2.3268138271801178,0.002393092979309522,0.4472135954999579
23,2.430170063436893,0.00047861859586190224,1.0
24,2.5335262996936683,0.0009572371917238087,0.7071067811865475
