q2	x	y	redx	err
0.045	6.21e-07	0.8029999999999999	0.08	0.007816
0.065	8.97e-07	0.8029999999999999	0.111	0.008879999999999999
0.065	1.02e-06	0.706	0.111	0.0096903
0.085	1.17e-06	0.805	0.136	0.0100504
0.085	1.34e-06	0.703	0.13	0.007137
0.085	1.56e-06	0.604	0.126	0.008656200000000001
0.1	1.51e-06	0.8079999999999999	0.165	0.0129195
0.1	1.73e-06	0.705	0.166	0.0079182
0.1	2.02e-06	0.604	0.157	0.0057148
0.1	2.43e-06	0.502	0.149	0.008165200000000001
0.15	2.07e-06	0.8029999999999999	0.228	0.0168492
0.15	2.36e-06	0.705	0.199	0.008994799999999999
0.15	2.76e-06	0.603	0.201	0.0067737
0.15	3.31e-06	0.502	0.201	0.0061104
0.15	4.14e-06	0.402	0.187	0.0061149
0.15	5.02e-06	0.295	0.185	0.01036
0.2	3.15e-06	0.7040000000000001	0.25	0.0119
0.2	3.68e-06	0.603	0.246	0.0084624
0.2	4.41e-06	0.503	0.24	0.007008
0.2	5.52e-06	0.402	0.235	0.006439
0.2	6.69e-06	0.295	0.227	0.0059247
0.2	8.49e-06	0.233	0.224	0.0066304
0.2	1.1e-05	0.18	0.208	0.0090064
0.2	3.98e-05	0.05	0.211	0.0434027
0.2	0.000251	0.008	0.181	0.0278016
0.25	3.94e-06	0.703	0.28	0.015988
0.25	4.6e-06	0.603	0.28	0.01134
0.25	5.52e-06	0.502	0.282	0.008601000000000001
0.25	6.9e-06	0.402	0.276	0.0077556
0.25	8.36e-06	0.295	0.266	0.007315
0.25	1.06e-05	0.233	0.261	0.006759899999999999
0.25	1.3800000000000002e-05	0.179	0.25	0.006625
0.25	2.3e-05	0.107	0.245	0.0101675
0.25	3.98e-05	0.062	0.237	0.0113523
0.25	0.00011	0.022	0.2	0.0099
0.25	0.000251	0.01	0.196	0.010172399999999998
0.25	0.000394	0.006	0.195	0.0115635
0.25	0.00158	0.002	0.199	0.0252531
0.35	5.12e-06	0.758	0.35	0.019075
0.35	5.12e-06	0.675	0.4370000000000001	0.11182830000000002
0.35	6.1e-06	0.636	0.358	0.049726199999999984
0.35	6.62e-06	0.586	0.336	0.0108192
0.35	8.28e-06	0.469	0.335	0.0102845
0.35	1e-05	0.34600000000000003	0.348	0.009744
0.35	1.27e-05	0.272	0.326	0.0088672
0.35	1.65e-05	0.21	0.316	0.0081844
0.35	3.2e-05	0.108	0.299	0.0125281
0.35	6.620000000000001e-05	0.052000000000000005	0.28300000000000003	0.0098484
0.35	0.00013000000000000002	0.027000000000000003	0.259	0.0086765
0.35	0.00022	0.016	0.242	0.0092202
0.35	0.0005	0.006999999999999999	0.242	0.0091718
