y	r	N(r,Y)
0.0	2.9999999999999997e-06	9.32920407592519e-13
0.0	3.1291009577556375e-06	1.0154099783221682e-12
0.0	3.2637576012757556e-06	1.1052270210143433e-12
0.0	3.4042090120114036e-06	1.2029266471813571e-12
0.0	3.550704559961752e-06	1.3092860129404471e-12
0.0	3.703504346427883e-06	1.425082274408851e-12
0.0	3.862879665819886e-06	1.5509815654013437e-12
0.0	4.029113487337261e-06	1.6880941089425505e-12
0.0	4.202500957377734e-06	1.837197061149709e-12
0.0	4.3833499235665515e-06	1.999511667349907e-12
0.0	4.5719814813367325e-06	2.1761481505677693e-12
0.0	4.768730544030612e-06	2.3684387784328464e-12
0.0	4.973946437534918e-06	2.577604796272226e-12
0.0	5.187993520505251e-06	2.805200516320383e-12
0.0	5.411251831281018e-06	3.053002295416718e-12
0.0	5.644117762639461e-06	3.3224534234932435e-12
0.0	5.887004765586915e-06	3.61577434659921e-12
0.0	6.140344083436685e-06	3.934963466178942e-12
0.0	6.404585517476965e-06	4.282241228281691e-12
0.0	6.680198225588353e-06	4.6601611458640946e-12
0.0	6.967671555228688e-06	5.0713877541852526e-12
0.0	7.267515912264268e-06	5.518807633109191e-12
0.0	7.580263667190167e-06	6.005640429407322e-12
0.0	7.906470100348338e-06	6.5354388567584465e-12
0.0	8.2467143878221e-06	7.111755628841365e-12
0.0	8.601600629757127e-06	7.738920615452116e-12
0.0	8.97175892293484e-06	8.421263686386737e-12
0.0	9.3578464795027e-06	9.16366982295358e-12
0.0	9.760548793847392e-06	9.971468095670843e-12
0.0	1.0180580859682836e-05	1.0850320641964117e-11
0.0	1.0618688439514093e-05	1.1806555733073765e-11
0.0	1.1075649388730775e-05	1.2846834707147536e-11
0.0	1.1552275036681039e-05	1.3978707080752883e-11
0.0	1.2049411627178395e-05	1.5210055437364645e-11
0.0	1.2567941820998635e-05	1.654976156117982e-11
0.0	1.3108786263034654e-05	1.8007262347907727e-11
0.0	1.3672905216891896e-05	1.9592882871677375e-11
0.0	1.4261300269826188e-05	2.131783638503748e-11
0.0	1.4875016111051287e-05	2.3194446363561383e-11
0.0	1.551514238657371e-05	2.5236035483544583e-11
0.0	1.6182815633847658e-05	2.7456925622004746e-11
0.0	1.6879221299685207e-05	2.987299296819401e-11
0.0	1.760559584500481e-05	3.2501223934389145e-11
0.0	1.8363228940154412e-05	3.536038128970631e-11
0.0	1.9153465754707738e-05	3.847044904858876e-11
0.0	1.9977709345798634e-05	4.1853742693831464e-11
0.0	2.083742314923409e-05	4.553390997585893e-11
0.0	2.1734133577809298e-05	4.953715215805232e-11
0.0	2.2669432731437386e-05	5.389166890523711e-11
0.0	2.3644981223905912e-05	5.862821339519542e-11
0.0	2.4662511131279353e-05	6.378042538557338e-11
0.0	2.5723829067181817e-05	6.938438712467132e-11
0.0	2.683081939042031e-05	7.547995561907328e-11
0.0	2.7985447550644247e-05	8.210998547752979e-11
0.0	2.9189763577980414e-05	8.932121708937757e-11
