q2	cme	x	redx
0.15	318.0	5.02e-06	0.18006964226486788
0.2	318.0	6.69e-06	0.21767574002026802
0.2	318.0	8.49e-06	0.21464286045017655
0.2	318.0	1.1e-05	0.21091440487396593
0.2	318.0	3.98e-05	0.1910765301761359
0.2	318.0	0.000251	0.16521294137595804
0.25	318.0	8.36e-06	0.25087148153967226
0.25	318.0	1.06e-05	0.24715169243618074
0.25	318.0	1.3800000000000007e-05	0.24250892323153697
0.25	318.0	2.3e-05	0.2329537185371003
0.25	318.0	3.98e-05	0.22264258399200176
0.25	318.0	0.00011	0.20445766613014268
0.25	318.0	0.000251	0.19093930202709597
0.25	318.0	0.000394	0.18411750406664248
0.25	318.0	0.00158	0.16599218101688015
0.35	318.0	5.12e-06	0.3086216890096761
0.35	318.0	1e-05	0.3106772990337357
0.35	318.0	1.27e-05	0.30623181394119486
0.35	318.0	1.65e-05	0.3003826171596939
0.35	318.0	3.2e-05	0.2840452050395391
0.35	318.0	6.620000000000001e-05	0.26607321793239835
0.35	318.0	0.00013000000000000002	0.2502415795366128
0.35	318.0	0.00022	0.23861966005891838
0.35	318.0	0.0005	0.22195962286854165
0.35	318.0	0.00251	0.19525098338427638
0.4	318.0	1.3300000000000001e-05	0.33299383827636353
0.4	318.0	1.7e-05	0.3271299182485155
0.4	318.0	2.2e-05	0.3203086634112003
0.4	318.0	3.68e-05	0.30601636834760876
0.4	318.0	8.83e-05	0.2820970509764123
0.4	318.0	0.000176	0.2643993462775009
0.4	318.0	0.000294	0.25210822258386795
0.4	318.0	0.0006309999999999999	0.2353127827071926
0.5	318.0	7.32e-06	0.38047640015118006
0.5	318.0	1.58e-05	0.3791009400642254
0.5	318.0	2.12e-05	0.37073872801217805
0.5	318.0	2.7600000000000014e-05	0.36234078195893016
0.5	318.0	3.98e-05	0.35019594677423965
0.5	318.0	0.0001	0.3200298785590727
0.5	318.0	0.000251	0.2921786464873369
0.5	318.0	0.000368	0.2814739584178957
0.5	318.0	0.0008	0.26146494624619393
0.5	318.0	0.0032	0.23210470630283456
0.65	318.0	9.52e-06	0.4401063019226031
0.65	318.0	1.58e-05	0.44375549874670456
0.65	318.0	3.98e-05	0.4118091153949463
0.65	318.0	5.98e-05	0.3951949844564912
0.65	318.0	0.0001	0.3745818711849478
0.65	318.0	0.000251	0.3399202021879541
0.65	318.0	0.000478	0.31785524543266525
0.65	318.0	0.0008	0.30162378908337256
0.65	318.0	0.0032	0.26474123175281417
0.85	318.0	1.24e-05	0.5066299312724636
0.85	318.0	2e-05	0.5104120136544864
0.85	318.0	3.98e-05	0.48310914415269146
0.85	318.0	5e-05	0.47195557531475696
0.85	318.0	0.0001	0.4376567625005822
0.85	318.0	0.000251	0.394636429895878
0.85	318.0	0.0008	0.34698881793031927
0.85	318.0	0.0032	0.3007771242451668
1.2	318.0	1.76e-05	0.600665442929245
1.2	318.0	2e-05	0.6057217934127533
1.2	318.0	3.2e-05	0.5976932274221027
1.2	318.0	6.31e-05	0.559402921801464
1.2	318.0	8e-05	0.5444061375431801
1.2	318.0	0.00013000000000000002	0.5138597965299858
1.2	318.0	0.00015800000000000002	0.5018306415773693
1.2	318.0	0.000398	0.44825739989727614
1.2	318.0	0.0013	0.38875341228888316
1.2	318.0	0.005	0.33448192485299466
1.5	318.0	1.85e-05	0.6490453683625051
1.5	318.0	2.2e-05	0.6654866451803875
1.5	318.0	3.2e-05	0.6691058273066856
1.5	318.0	5e-05	0.6467228291721011
1.5	318.0	8e-05	0.613884859783425
1.5	318.0	0.00013000000000000002	0.5783028124878786
1.5	318.0	0.0002	0.5473729450624126
1.5	318.0	0.00032	0.5152081680953321
1.5	318.0	0.0005	0.48635738467651496
1.5	318.0	0.0008	0.4578577429515433
1.5	318.0	0.001	0.4450124342985356
1.5	318.0	0.0032	0.3854630264692112
2.0	318.0	2.47e-05	0.7355146519702601
2.0	318.0	2.9299999999999997e-05	0.7529137392218199
2.0	318.0	5e-05	0.7469212653806578
2.0	318.0	8e-05	0.7118363363491237
2.0	318.0	0.00013000000000000002	0.6695263211676333
2.0	318.0	0.0002	0.6319105214037484
2.0	318.0	0.00032	0.5924186336478646
2.0	318.0	0.0005	0.5569597046904401
2.0	318.0	0.001	0.5060319017297689
2.0	318.0	0.0032	0.4323895045196486
2.7	318.0	3.09e-05	0.8156633888512699
2.7	318.0	3.66e-05	0.8410426750063029
2.7	318.0	4.09e-05	0.849333695145467
2.7	318.0	5e-05	0.8517321903147538
2.7	318.0	8e-05	0.822576234113563
2.7	318.0	0.00013000000000000002	0.7744789140171671
2.7	318.0	0.0002	0.7291601496363199
2.7	318.0	0.00032	0.6809427854082187
2.7	318.0	0.0005	0.6374110838491222
2.7	318.0	0.0008	0.5942571553358731
2.7	318.0	0.0013	0.5527647435536683
2.7	318.0	0.002	0.5185771825212595
2.7	318.0	0.005	0.4537789318199852
3.5	318.0	4.0600000000000004e-05	0.9002841124059872
3.5	318.0	4.320000000000001e-05	0.9116261790007627
3.5	318.0	4.6e-05	0.920552796623141
3.5	318.0	5.12e-05	0.930380862158351
3.5	318.0	5.31e-05	0.9323487957186032
3.5	318.0	8e-05	0.9216211253070676
3.5	318.0	0.00013000000000000002	0.8724358228093938
3.5	318.0	0.0002	0.8206547124875484
3.5	318.0	0.00032	0.7640937703547722
3.5	318.0	0.0005	0.7126273754209203
3.5	318.0	0.0008	0.6615058766623979
3.5	318.0	0.0013	0.6122807044847522
3.5	318.0	0.002	0.5717153951420293
3.5	318.0	0.008	0.4599658715211971
4.5	318.0	5.22e-05	0.9798538353484438
4.5	318.0	5.920000000000001e-05	1.0009037028871772
4.5	318.0	6.18e-05	1.0056112732074978
4.5	318.0	6.829999999999999e-05	1.0122929690464348
4.5	318.0	7.32e-05	1.0138676036143623
4.5	318.0	8.18e-05	1.0121658094996695
4.5	318.0	0.00013000000000000002	0.9718278452993339
4.5	318.0	0.0002	0.9152630141207088
4.5	318.0	0.00032	0.8503412348777245
4.5	318.0	0.0005	0.7903812841271489
4.5	318.0	0.0008	0.7306573473206467
4.5	318.0	0.0013	0.6730638771561316
4.5	318.0	0.002	0.6255851919596408
4.5	318.0	0.0032	0.577462936321569
6.5	318.0	7.54e-05	1.0937963774603996
6.5	318.0	8.03e-05	1.1060678399686694
6.5	318.0	8.55e-05	1.115169734618545
6.5	318.0	9.51e-05	1.1241425802365883
6.5	318.0	9.86e-05	1.125539237941684
6.5	318.0	0.00013000000000000002	1.1158015593788186
6.5	318.0	0.0002	1.0615036400258093
6.5	318.0	0.00032	0.9857597483625741
6.5	318.0	0.0005	0.9125531772669265
6.5	318.0	0.0008	0.8387121989249403
6.5	318.0	0.0013	0.7672725738973094
6.5	318.0	0.002	0.708329079994038
6.5	318.0	0.0032	0.6486295592417372
6.5	318.0	0.005	0.5962038063301949
8.5	318.0	9.86e-05	1.1727781066081098
8.5	318.0	0.000105	1.1850271957440646
8.5	318.0	0.00011200000000000001	1.1941324378288138
8.5	318.0	0.000124	1.2019376270331041
8.5	318.0	0.000129	1.2030623483774403
8.5	318.0	0.000139	1.2026867946521762
8.5	318.0	0.0002	1.1688159091092778
8.5	318.0	0.00032	1.0899778199385388
8.5	318.0	0.0005	1.0073533543560074
8.5	318.0	0.0008	0.9223499384535522
8.5	318.0	0.0013	0.8396708734915439
8.5	318.0	0.002	0.7713987369793629
8.5	318.0	0.0032	0.702213821624799
8.5	318.0	0.005	0.6416039067321186
10.0	318.0	0.00032	1.154195846587427
10.0	318.0	0.0005	1.0667080985359692
10.0	318.0	0.0008	0.974800557562943
10.0	318.0	0.0013	0.8849084962741969
10.0	318.0	0.002	0.8105472216561311
10.0	318.0	0.005	0.6693279320655205
12.0	318.0	0.000139	1.2656411374013374
12.0	318.0	0.000161	1.2879629651010713
12.0	318.0	0.000182	1.2930189050694303
12.0	318.0	0.0002	1.2901955897908213
12.0	318.0	0.00032	1.225710502753158
12.0	318.0	0.0005	1.1345370252070688
12.0	318.0	0.0008	1.0350524549393352
12.0	318.0	0.0013	0.9367862750016294
12.0	318.0	0.002	0.8553260088271627
12.0	318.0	0.0032	0.7728999663641841
12.0	318.0	0.005	0.7006656114001085
15.0	318.0	0.000174	1.3197065078636354
15.0	318.0	0.0002	1.3399841352523691
15.0	318.0	0.00022799999999999999	1.3439178580452016
15.0	318.0	0.00032	1.3089272710686122
15.0	318.0	0.0005	1.2182558653247375
15.0	318.0	0.0008	1.1104563858768344
15.0	318.0	0.0013	1.001729224466666
15.0	318.0	0.002	0.9111760609020846
15.0	318.0	0.0032	0.8194366589845058
15.0	318.0	0.005	0.7392407843616146
15.0	318.0	0.008	0.6617397379034036
18.0	318.0	0.00020899999999999998	1.359331195559507
18.0	318.0	0.00023700000000000001	1.3771571016048239
18.0	318.0	0.000268	1.3809712853646334
18.0	318.0	0.000328	1.3653442586646898
18.0	318.0	0.0005	1.2857382557222718
18.0	318.0	0.0008	1.1729412824874008
18.0	318.0	0.0013	1.0557917583774348
18.0	318.0	0.002	0.9575612707534628
18.0	318.0	0.0032	0.8579145193629536
18.0	318.0	0.005	0.770797704110242
18.0	318.0	0.008	0.6868089950786027
22.0	318.0	0.00029	1.4137740613501737
22.0	318.0	0.00032	1.4162743296471618
22.0	318.0	0.00034500000000000004	1.413167193090864
22.0	318.0	0.000388	1.4013607013463134
22.0	318.0	0.0005	1.3563058600499422
22.0	318.0	0.000592	1.3177308571867428
22.0	318.0	0.0008	1.2418419046903937
22.0	318.0	0.0013	1.1160568216010587
22.0	318.0	0.002	1.0092394452945916
22.0	318.0	0.0032	0.9006050239214374
22.0	318.0	0.005	0.8056607756610581
22.0	318.0	0.008	0.7142069541020615
27.0	318.0	0.000314	1.4287993645266193
27.0	318.0	0.00035499999999999996	1.4429126849161344
27.0	318.0	0.00041	1.4433217815851647
27.0	318.0	0.0005	1.4181507267482505
27.0	318.0	0.0008	1.3090660403188696
27.0	318.0	0.0013	1.1779194944515623
27.0	318.0	0.002	1.0623677105288758
27.0	318.0	0.0032	0.9444491873782906
27.0	318.0	0.005	0.8412109076444576
27.0	318.0	0.008	0.7419201746927525
35.0	318.0	0.00045999999999999996	1.4726960477034825
35.0	318.0	0.0005	1.4723108902964281
35.0	318.0	0.000531	1.4685366340032733
35.0	318.0	0.000616	1.4491856331687798
35.0	318.0	0.000657	1.4372961626863967
35.0	318.0	0.0008	1.3904425084917962
35.0	318.0	0.001	1.3300343869530127
35.0	318.0	0.0013	1.25549946577369
35.0	318.0	0.002	1.1285615705172292
35.0	318.0	0.0032	0.9989267528161758
35.0	318.0	0.005	0.885171075623519
35.0	318.0	0.008	0.7751777929811399
45.0	318.0	0.00059	1.4864375581416713
45.0	318.0	0.000634	1.483102761605942
45.0	318.0	0.0007	1.4743173886096517
45.0	318.0	0.0008	1.4495802739503298
45.0	318.0	0.0009199999999999999	1.4219096045969204
45.0	318.0	0.0011	1.376289879634048
45.0	318.0	0.0013	1.3269774208766656
45.0	318.0	0.002	1.1940483251430702
45.0	318.0	0.0032	1.052986397452694
45.0	318.0	0.005	0.928743438009371
45.0	318.0	0.008	0.8090879716872178
0.045	300.0	6.21e-07	0.06546135234929006
0.065	300.0	8.97e-07	0.08744889985828044
0.065	300.0	1.02e-06	0.0901077425184606
0.085	300.0	1.17e-06	0.10755120633215927
0.085	300.0	1.34e-06	0.11108754807317824
0.085	300.0	1.56e-06	0.11397327621589226
0.11	300.0	1.51e-06	0.13079349852111347
0.11	300.0	1.73e-06	0.13523233474309673
0.11	300.0	2.02e-06	0.1389043652333026
0.11	300.0	2.43e-06	0.14183085551734173
0.15	300.0	2.07e-06	0.1652173807350224
0.15	300.0	2.36e-06	0.17072195204526486
0.15	300.0	2.76e-06	0.1755103650005631
0.15	300.0	3.31e-06	0.1792297493723477
0.15	300.0	4.14e-06	0.18057603928885163
0.2	300.0	3.15e-06	0.21103915454905203
0.2	300.0	3.68e-06	0.2170343928354608
0.2	300.0	4.41e-06	0.21875665997785806
0.2	300.0	5.52e-06	0.2184368662591687
0.25	300.0	3.94e-06	0.2467749984672763
0.25	300.0	4.6e-06	0.25067452473904067
0.25	300.0	5.52e-06	0.2524364169296782
0.25	300.0	6.900000000000003e-06	0.25189816632827616
0.35	300.0	5.12e-06	0.30024808338367054
0.35	300.0	6.1e-06	0.30725691061512
0.35	300.0	6.62e-06	0.3090438308926741
0.35	300.0	8.28e-06	0.3104946424218524
0.4	300.0	8.83e-06	0.33601835641309846
0.4	300.0	1.1e-05	0.334790455639236
0.5	300.0	8.599999999999999e-06	0.37790322439231927
0.65	300.0	1.12e-05	0.43680020070613196
0.65	300.0	1.64e-05	0.4397744247833292
0.85	300.0	1.3800000000000007e-05	0.4996654884127887
0.85	300.0	2e-05	0.5059777291493069
1.2	300.0	2e-05	0.5930176530209833
1.2	300.0	3.2e-05	0.5938646336804011
1.5	300.0	3.2e-05	0.6615686070048178
2.0	300.0	3.27e-05	0.7408586267311584
2.0	300.0	5e-05	0.7412796939741164
2.7	300.0	4.09e-05	0.8266505956023955
2.7	300.0	5e-05	0.8379759943622261
2.7	300.0	8e-05	0.8185137859465205
3.5	300.0	5.73e-05	0.9139420978155792
3.5	300.0	8e-05	0.9129419635663863
4.5	300.0	8.18e-05	0.9951621298607997
4.5	300.0	0.00013000000000000002	0.9667726943158415
6.5	300.0	9.86e-05	1.0960586624613968
6.5	300.0	0.00013000000000000002	1.1012604512025401
6.5	300.0	0.0002	1.0568338871934218
8.5	300.0	0.000139	1.1767685661203604
8.5	300.0	0.0002	1.1588542155506059
10.0	300.0	0.00013000000000000002	1.1916017335682165
10.0	300.0	0.0002	1.214310824659372
12.0	300.0	0.000161	1.243825887539601
12.0	300.0	0.0002	1.2640555892886993
12.0	300.0	0.00032	1.2182174790964715
15.0	300.0	0.0002	1.293886701541425
15.0	300.0	0.000246	1.3127947722721007
15.0	300.0	0.00032	1.2949746420731771
18.0	300.0	0.000268	1.3446850733762783
18.0	300.0	0.000328	1.3437478661102533
18.0	300.0	0.0005	1.2788069218297866
22.0	300.0	0.0005	1.3442927854836573
27.0	300.0	0.000335	1.38210770003917
27.0	300.0	0.00041	1.4080652444115889
27.0	300.0	0.0005	1.397153416514142
27.0	300.0	0.0008	1.3032232450488912
35.0	300.0	0.0005740000000000001	1.4310884984235894
35.0	300.0	0.0008	1.3787035447691216
45.0	300.0	0.0008	1.4270551857031752
45.0	300.0	0.0013	1.3209589814424292
1.5	251.0	2.7899999999999997e-05	0.6029569912781491
2.0	251.0	3.72e-05	0.6807870236008696
2.0	251.0	4.15e-05	0.695968855610418
2.5	251.0	4.650000000000001e-05	0.7429898182573172
2.5	251.0	5.19e-05	0.7590509570861944
2.5	251.0	5.7999999999999994e-05	0.7690524859488681
3.5	251.0	6.51e-05	0.8381471705131087
3.5	251.0	7.269999999999999e-05	0.8552171566238614
3.5	251.0	8.120000000000001e-05	0.8652838634913509
3.5	251.0	9.209999999999999e-05	0.8696372499341871
3.5	251.0	0.000106	0.867665547454968
5.0	251.0	9.31e-05	0.9382387964706072
5.0	251.0	0.00010400000000000001	0.9557978779792634
5.0	251.0	0.00011599999999999999	0.9653755018184722
5.0	251.0	0.000132	0.9685446524255256
5.0	251.0	0.000152	0.9643121051417227
5.0	251.0	0.00020099999999999998	0.941180673982566
6.5	251.0	0.000121	1.0089190613067025
6.5	251.0	0.000135	1.0263439518389164
6.5	251.0	0.000151	1.0355884242598548
6.5	251.0	0.00016299999999999998	1.0376623787998778
6.5	251.0	0.000171	1.0374901710780486
6.5	251.0	0.000183	1.0355922029574711
6.5	251.0	0.000197	1.0316154415387826
6.5	251.0	0.00022799999999999999	1.019205852694742
6.5	251.0	0.000262	1.0034419670984416
8.5	251.0	0.00015800000000000002	1.076738882056541
8.5	251.0	0.000177	1.0943819517890592
8.5	251.0	0.000197	1.1023715016912035
8.5	251.0	0.00022400000000000002	1.1028459016200065
8.5	251.0	0.00023999999999999998	1.0998298999806786
8.5	251.0	0.000258	1.0947194398760933
8.5	251.0	0.000299	1.0795420076554458
8.5	251.0	0.000342	1.0617784869692337
8.5	251.0	0.000433	1.025311885344418
8.5	251.0	0.000541	0.9878679470400328
8.5	251.0	0.0008380000000000001	0.9124986558329332
8.5	251.0	0.00103	0.8775483710583057
8.5	251.0	0.0014	0.8270674704247024
12.0	251.0	0.000223	1.1555533547340604
12.0	251.0	0.00024900000000000004	1.1718168344182092
12.0	251.0	0.000278	1.1785613753807882
12.0	251.0	0.000295	1.1788162767657007
12.0	251.0	0.00031600000000000004	1.1766262099180944
12.0	251.0	0.000343	1.1710652893895368
12.0	251.0	0.000364	1.1653674665931162
12.0	251.0	0.00042300000000000004	1.1462016519455007
12.0	251.0	0.00048300000000000003	1.1252521362970458
12.0	251.0	0.000592	1.0887966754219638
12.0	251.0	0.0007639999999999999	1.0395595194318377
12.0	251.0	0.00091	1.0050825580740212
12.0	251.0	0.00118	0.9541284895582601
12.0	251.0	0.00146	0.9132782787426836
12.0	251.0	0.00197	0.8575784306907406
15.0	251.0	0.000279	1.2001329407100467
15.0	251.0	0.000312	1.215392749955317
15.0	251.0	0.000348	1.2205834859749476
15.0	251.0	0.000394	1.21695868208761
15.0	251.0	0.00042199999999999996	1.2115012608919677
15.0	251.0	0.000455	1.2032847472456338
15.0	251.0	0.000529	1.1815306281168312
15.0	251.0	0.000604	1.1583131215407358
15.0	251.0	0.000763	1.112176886515811
15.0	251.0	0.0009550000000000001	1.0649762341909457
15.0	251.0	0.00114	1.0272267667003931
15.0	251.0	0.00148	0.9721423910099083
15.0	251.0	0.00182	0.9294400647680018
15.0	251.0	0.00247	0.868541205539315
20.0	251.0	0.00037200000000000004	1.2482257196145503
20.0	251.0	0.00041500000000000017	1.2614884696324933
20.0	251.0	0.00046399999999999995	1.2647998553063429
20.0	251.0	0.000526	1.2585187229535737
20.0	251.0	0.000607	1.2417417816482985
20.0	251.0	0.000805	1.1905947384434798
20.0	251.0	0.0012699999999999999	1.0879300881634257
20.0	251.0	0.00197	0.9863969015139337
20.0	251.0	0.00329	0.8739095877220507
25.0	251.0	0.000493	1.282524421649657
25.0	251.0	0.00057	1.288985818709753
25.0	251.0	0.000616	1.2869691655524162
25.0	251.0	0.0007	1.2747338578761414
25.0	251.0	0.000759	1.2627532619844386
25.0	251.0	0.00088	1.2354994740599436
25.0	251.0	0.00101	1.205886813350362
25.0	251.0	0.0012699999999999999	1.1517913075978423
25.0	251.0	0.00159	1.096308781394941
25.0	251.0	0.0018399999999999998	1.0600770272683349
25.0	251.0	0.00247	0.9881999294038389
25.0	251.0	0.003	0.9421034720387523
25.0	251.0	0.00411	0.8702766762702295
35.0	251.0	0.000651	1.3071348563197143
35.0	251.0	0.000727	1.3156607039765666
35.0	251.0	0.0008119999999999999	1.312152685630967
35.0	251.0	0.000921	1.3001438623540538
35.0	251.0	0.001	1.287818989509037
35.0	251.0	0.00106	1.27909090897778
35.0	251.0	0.00123	1.247842827956236
35.0	251.0	0.00141	1.2151048457828706
35.0	251.0	0.0018	1.1502459249397619
35.0	251.0	0.00223	1.0940761173893685
35.0	251.0	0.0027	1.0428013154606741
35.0	251.0	0.00345	0.9774801401220464
35.0	251.0	0.0043	0.9216993830308614
35.0	251.0	0.00575	0.8511763494773086
45.0	251.0	0.0008380000000000001	1.3129177974111548
45.0	251.0	0.0009339999999999999	1.320039516207449
45.0	251.0	0.0010400000000000001	1.3183729607571704
45.0	251.0	0.00118	1.3037599322338491
45.0	251.0	0.0012699999999999999	1.291445740626482
45.0	251.0	0.00137	1.276489685230191
45.0	251.0	0.00159	1.2422627243372455
45.0	251.0	0.0018100000000000002	1.2088854038683157
45.0	251.0	0.00229	1.1440582609803722
45.0	251.0	0.00286	1.0794200311776945
45.0	251.0	0.0033	1.040847323585397
45.0	251.0	0.0044399999999999995	0.9592244950091002
45.0	251.0	0.0055	0.9026671794735149
45.0	251.0	0.0074	0.8276924283006778
1.5	225.0	3.48e-05	0.5867582164109317
2.0	225.0	4.6399999999999996e-05	0.6613009309069143
2.0	225.0	5.260000000000001e-05	0.6775936450548006
2.5	225.0	5.7999999999999994e-05	0.7206743864962604
2.5	225.0	6.579999999999999e-05	0.7378563415235446
2.5	225.0	7.59e-05	0.7481103829552795
3.5	225.0	8.120000000000001e-05	0.8111130399708402
3.5	225.0	9.209999999999999e-05	0.829132685280615
3.5	225.0	0.000106	0.8391377081229163
3.5	225.0	0.00014099999999999998	0.8361199438323474
5.0	225.0	0.00011599999999999999	0.9054658114263432
5.0	225.0	0.000132	0.924197285494601
5.0	225.0	0.000143	0.9306174687450597
5.0	225.0	0.000152	0.9332063997137878
5.0	225.0	0.00020099999999999998	0.926229353261977
6.5	225.0	0.000151	0.9720582601131741
6.5	225.0	0.000171	0.9899999188337741
6.5	225.0	0.000183	0.9954707936864384
6.5	225.0	0.000197	0.9983872923029773
6.5	225.0	0.00022799999999999999	0.9965480073933506
6.5	225.0	0.000262	0.9877671962405812
6.5	225.0	0.00033	0.9637101424506821
