y	r	N(r,Y)
0.0	2.9999999999999997e-06	5.0931037165469206e-11
0.0	3.1291009577556375e-06	5.478406617243081e-11
0.0	3.2637576012757556e-06	5.892808463414667e-11
0.0	3.4042090120114036e-06	6.33849639442019e-11
0.0	3.550704559961752e-06	6.817835185302101e-11
0.0	3.703504346427883e-06	7.333356144556546e-11
0.0	3.862879665819886e-06	7.887790420824103e-11
0.0	4.029113487337261e-06	8.484057900659536e-11
0.0	4.202500957377734e-06	9.12531161745278e-11
0.0	4.3833499235665515e-06	9.814948853659189e-11
0.0	4.5719814813367325e-06	1.0556611140799532e-10
0.0	4.768730544030612e-06	1.1354195361690245e-10
0.0	4.973946437534918e-06	1.2211931466055148e-10
0.0	5.187993520505251e-06	1.3134338061604467e-10
0.0	5.411251831281018e-06	1.4126289027416306e-10
0.0	5.644117762639461e-06	1.5192991309476156e-10
0.0	5.887004765586915e-06	1.634009594297936e-10
0.0	6.140344083436685e-06	1.757364254117988e-10
0.0	6.404585517476965e-06	1.8900114806541524e-10
0.0	6.680198225588353e-06	2.0326507144119432e-10
0.0	6.967671555228688e-06	2.1860335763790317e-10
0.0	7.267515912264268e-06	2.3509671986943204e-10
0.0	7.580263667190167e-06	2.5283186655400414e-10
0.0	7.906470100348338e-06	2.719022784702929e-10
0.0	8.2467143878221e-06	2.924079867128171e-10
0.0	8.601600629757127e-06	3.144570159818727e-10
0.0	8.97175892293484e-06	3.381650515166257e-10
0.0	9.3578464795027e-06	3.6365677136274144e-10
0.0	9.760548793847392e-06	3.910659573946873e-10
0.0	1.0180580859682836e-05	4.205367165610596e-10
0.0	1.0618688439514093e-05	4.522233698622813e-10
0.0	1.1075649388730775e-05	4.862925617743485e-10
0.0	1.1552275036681039e-05	5.229225941150162e-10
0.0	1.2049411627178395e-05	5.623058685344517e-10
0.0	1.2567941820998635e-05	6.046485534483281e-10
0.0	1.3108786263034654e-05	6.501725824392679e-10
0.0	1.3672905216891896e-05	6.991163203906581e-10
0.0	1.4261300269826188e-05	7.517361177988846e-10
0.0	1.4875016111051287e-05	8.08307420996357e-10
0.0	1.551514238657371e-05	8.691259933968354e-10
0.0	1.6182815633847658e-05	9.345101359414798e-10
0.0	1.6879221299685207e-05	1.0048016862995723e-09
0.0	1.760559584500481e-05	1.0803677952253565e-09
0.0	1.8363228940154412e-05	1.161603480070994e-09
0.0	1.9153465754707738e-05	1.2489328460318916e-09
0.0	1.9977709345798634e-05	1.3428119727265653e-09
0.0	2.083742314923409e-05	1.4437304685088748e-09
0.0	2.1734133577809298e-05	1.5522151342040047e-09
0.0	2.2669432731437386e-05	1.6688314063983967e-09
0.0	2.3644981223905912e-05	1.7941872432203354e-09
0.0	2.4662511131279353e-05	1.928935788875208e-09
0.0	2.5723829067181817e-05	2.0737790373814846e-09
0.0	2.683081939042031e-05	2.2294709411951885e-09
0.0	2.7985447550644247e-05	2.3968218521019935e-09
0.0	2.9189763577980414e-05	2.576702295975508e-09
0.0	3.0445905722839716e-05	2.770047857758584e-09
0.0	3.1756104252358535e-05	2.9778634003108095e-09
0.0	3.312268541021439e-05	3.20122894859054e-09
0.0	3.454807554684684e-05	3.4413044636139034e-09
0.0	3.603480542741753e-05	3.699336392770647e-09
0.0	3.758551472515682e-05	3.976663776050771e-09
0.0	3.920295670807561e-05	4.274725351471886e-09
0.0	4.0890003127364066e-05	4.59506643846197e-09
0.0	4.2649649316155386e-05	4.939347375554348e-09
0.0	4.448501950770797e-05	5.309351847060384e-09
0.0	4.639937238244908e-05	5.706995875875975e-09
0.0	4.839610685372739e-05	6.134337704466475e-09
0.0	5.047876810254753e-05	6.593588453007726e-09
0.0	5.265105387200207e-05	7.0871229995717044e-09
0.0	5.491682103257522e-05	7.617492525646696e-09
0.0	5.7280092429975356e-05	8.187437616768989e-09
0.0	5.974506402765579e-05	8.799901585199166e-09
0.0	6.231611235670332e-05	9.458046013044452e-09
0.0	6.499780228632277e-05	1.0165266850492571e-08
0.0	6.779489512871472e-05	1.0925211513246325e-08
0.0	7.071235709273488e-05	1.1741797312225799e-08
0.0	7.375536810134513e-05	1.261923177064972e-08
0.0	7.692933098851289e-05	1.3562033385206007e-08
0.0	8.023988109188553e-05	1.4575055384824509e-08
0.0	8.369289625827251e-05	1.5663509600472025e-08
0.0	8.729450727970124e-05	1.6832993332549506e-08
0.0	9.10511087785734e-05	1.8089517328512272e-08
0.0	9.496937056124893e-05	1.9439536869114704e-08
0.0	9.905624946021803e-05	2.088998374283335e-08
0.0	0.00010331900168588338	2.2448301550959116e-08
0.0	0.0001077651957098847	2.4122483455180088e-08
0.0	0.00011240272570284132	2.592111270072195e-08
0.0	0.00011723982555036855	2.785340513788981e-08
0.0	0.00012228508347225406	2.9929256850635966e-08
0.0	0.00012754745727075275	3.215929289535069e-08
0.0	0.00013303629023506981	3.4554921923835025e-08
0.0	0.00013876132773027133	3.7128392693652756e-08
0.0	0.00014473273450007866	3.9892856018575173e-08
0.0	0.00015096111271426313	4.2862431159917946e-08
0.0	0.00015745752079268587	4.605227632570319e-08
0.0	0.0001642334930394072	4.947866483195895e-08
0.0	0.0001713010601217213	5.3159066815133826e-08
0.0	0.0001786727704304784	5.71122369397159e-08
0.0	0.00018636171235962071	6.135830787901142e-08
0.0	0.00019438153754449032	6.591889167850695e-08
0.0	0.00020274648510015974	7.081718722545816e-08
0.0	0.00021147140690283263	7.607809637821816e-08
0.0	0.00022057179395919564	8.172834853326094e-08
0.0	0.0002300638039105332	8.779663362989965e-08
0.0	0.00023996428972045155	9.431374536905679e-08
