q2	cme	x	redx
0.045	301.0	6.21e-07	0.071727731719973
0.065	301.0	8.97e-07	0.09745523506982488
0.065	301.0	1.02e-06	0.09764157168119053
0.085	301.0	1.17e-06	0.12102465370442625
0.085	301.0	1.34e-06	0.12149290717631564
0.085	301.0	1.56e-06	0.12147562098129187
0.1	301.0	1.51e-06	0.1381102103606441
0.1	301.0	1.73e-06	0.13839823865536405
0.1	301.0	2.02e-06	0.13812849424041543
0.1	301.0	2.43e-06	0.13721544997016194
0.15	301.0	2.07e-06	0.18729883574218698
0.15	301.0	2.36e-06	0.18878034287967183
0.15	301.0	2.76e-06	0.1893388997289525
0.15	301.0	3.31e-06	0.1887593796902488
0.15	301.0	4.14e-06	0.1868845709770226
0.15	319.0	5.02e-06	0.18498307734819264
0.2	301.0	3.15e-06	0.23303353901000498
0.2	301.0	3.68e-06	0.23407147967030462
0.2	301.0	4.41e-06	0.23354831192728506
0.2	301.0	5.52e-06	0.23122380921340124
0.2	319.0	6.69e-06	0.22883442079625302
0.2	319.0	8.49e-06	0.22437842760261392
0.2	319.0	1.1e-05	0.21920420432087848
0.2	319.0	3.98e-05	0.19224752424363575
0.2	319.0	0.000251	0.15468481998221176
0.25	301.0	3.94e-06	0.27262055084404574
0.25	301.0	4.6e-06	0.27410982826681424
0.25	301.0	5.52e-06	0.27361707020329684
0.25	301.0	6.900000000000002e-06	0.27086371748129684
0.25	319.0	8.36e-06	0.2680109135411426
0.25	319.0	1.06e-05	0.2625609941948878
0.25	319.0	1.3800000000000003e-05	0.2560765251328929
0.25	319.0	2.3e-05	0.24300172521190794
0.25	319.0	3.98e-05	0.2288171218036517
0.25	319.0	0.00011	0.2029622011034406
0.25	319.0	0.000251	0.18272130606628706
0.25	319.0	0.000394	0.17200008571848638
0.25	301.0	0.00158	0.14078455366706363
0.35	301.0	5.12e-06	0.33910337563219195
0.35	319.0	5.12e-06	0.3464662276657757
0.35	301.0	6.1e-06	0.3432395759962281
0.35	301.0	6.62e-06	0.34384172857556616
0.35	301.0	8.28e-06	0.3424404024989781
0.35	319.0	1e-05	0.34026196227741606
0.35	319.0	1.27e-05	0.3333830448913605
0.35	319.0	1.65e-05	0.3249656639313379
0.35	319.0	3.2e-05	0.30215626088482156
0.35	319.0	6.620000000000001e-05	0.27684639532926225
0.35	319.0	0.00013000000000000002	0.2538914514171729
0.35	319.0	0.00022	0.23652869600217252
0.35	319.0	0.0005	0.2104859321973822
0.35	319.0	0.00251	0.16370257708509922
0.4	301.0	8.83e-06	0.3739742234030627
0.4	301.0	1.1e-05	0.3700148158353699
0.4	319.0	1.33e-05	0.3658480093751328
0.4	319.0	1.7e-05	0.3572436103406037
0.4	319.0	2.2e-05	0.34755897465956703
0.4	319.0	3.68e-05	0.327510309475096
0.4	319.0	8.83e-05	0.29343793358975917
0.4	319.0	0.000176	0.26745049476321775
0.4	319.0	0.000294	0.24877673313611987
0.4	319.0	0.0006309999999999999	0.22216376175938535
0.5	319.0	7.32e-06	0.43333197345013974
