q2	cme	x	redx
0.2	301.0	3.15e-06	0.19512416661582158
0.2	301.0	3.68e-06	0.1961324594138845
0.2	301.0	4.41e-06	0.19595478461255134
0.2	301.0	5.52e-06	0.19441582894943435
0.2	319.0	6.69e-06	0.19280731589802994
0.2	319.0	8.49e-06	0.18960206765632143
0.2	319.0	1.1e-05	0.1858446001658984
0.2	319.0	3.98e-05	0.1659521325372066
0.2	319.0	0.000251	0.13741394744763374
0.25	301.0	3.94e-06	0.2301489129759332
0.25	301.0	4.6e-06	0.23159079289710013
0.25	301.0	5.52e-06	0.23151050237651205
0.25	301.0	6.900000000000002e-06	0.2297070923300307
0.25	319.0	8.36e-06	0.2277823504330359
0.25	319.0	1.06e-05	0.2238361535169106
0.25	319.0	1.3800000000000003e-05	0.21908995783791227
0.25	319.0	2.3e-05	0.20941926167504768
0.25	319.0	3.98e-05	0.1988138504503292
0.25	319.0	0.00011	0.17918188893609116
0.25	319.0	0.000251	0.16351207581877075
0.25	319.0	0.000394	0.15508865008196063
0.25	301.0	0.00158	0.13005102892505016
0.35	301.0	5.12e-06	0.2902262931516295
0.35	319.0	5.12e-06	0.296193160964337
0.35	301.0	6.1e-06	0.29400353742910873
0.35	301.0	6.62e-06	0.29470046603669686
0.35	301.0	8.28e-06	0.29412795124931257
0.35	319.0	1e-05	0.29287563939218664
0.35	319.0	1.27e-05	0.2878983085971283
0.35	319.0	1.65e-05	0.28168423413308236
0.35	319.0	3.2e-05	0.26456203390495764
0.35	319.0	6.620000000000001e-05	0.24523873532251236
0.35	319.0	0.00013000000000000002	0.2274308664683148
0.35	319.0	0.00022	0.21376651472480426
0.35	319.0	0.0005	0.1929308827736248
0.35	319.0	0.00251	0.15431943069769227
0.4	301.0	8.83e-06	0.3230023417851513
0.4	301.0	1.1e-05	0.3204184503252443
0.4	319.0	1.33e-05	0.3175977511641149
0.4	319.0	1.7e-05	0.31123734032438566
0.4	319.0	2.2e-05	0.30398497065759844
0.4	319.0	3.68e-05	0.2887760670228122
0.4	319.0	8.83e-05	0.26247748395801246
0.4	319.0	0.000176	0.24203616796151095
0.4	319.0	0.000294	0.2271270802819588
0.4	319.0	0.0006309999999999999	0.20552734807929524
0.5	319.0	7.32e-06	0.3767406234996128
0.5	301.0	8.599999999999999e-06	0.3734747732737526
0.5	319.0	1.58e-05	0.3696166488837733
0.5	319.0	2.12e-05	0.36036653743387453
0.5	319.0	2.7600000000000007e-05	0.3512299742649948
0.5	319.0	3.98e-05	0.3379937962537332
0.5	319.0	0.0001	0.30412844706509234
0.5	319.0	0.000251	0.2710218568171842
0.5	319.0	0.000368	0.25762721889485835
0.5	319.0	0.0008	0.2312458891597788
0.5	301.0	0.0032	0.18733945258579607
0.65	319.0	9.52e-06	0.4450924899806754
0.65	301.0	1.12e-05	0.4409642958968792
0.65	319.0	1.58e-05	0.4442145863393304
0.65	301.0	1.64e-05	0.440431769194077
0.65	319.0	3.98e-05	0.4077849377250549
0.65	319.0	5.98e-05	0.38902154228963937
0.65	319.0	0.0001	0.36519869681855915
0.65	319.0	0.000251	0.32348980690349327
0.65	319.0	0.000478	0.2954117293740673
0.65	319.0	0.0008	0.2737660839896768
0.65	319.0	0.0032	0.21953057948298335
0.85	319.0	1.24e-05	0.5225266376001685
0.85	301.0	1.3800000000000003e-05	0.5151938341839426
0.85	301.0	2e-05	0.5179508092605142
0.85	319.0	2e-05	0.5220844493146418
0.85	319.0	3.98e-05	0.48990712180711504
0.85	319.0	5e-05	0.4770357582297665
0.85	319.0	0.0001	0.43683621638890685
0.85	319.0	0.000251	0.3844264320597432
0.85	319.0	0.0008	0.322460146438505
0.85	301.0	0.0032	0.25574786387964243
1.2	319.0	1.76e-05	0.6327436653198174
1.2	301.0	2e-05	0.6240157380971822
1.2	319.0	2e-05	0.6367792023794205
1.2	301.0	3.2e-05	0.6204740376021712
1.2	319.0	3.2e-05	0.6243096145370888
1.2	319.0	6.31e-05	0.5782837219077249
1.2	319.0	8e-05	0.5602851532932444
1.2	319.0	0.00013000000000000002	0.5231690404905569
1.2	319.0	0.00015800000000000002	0.5083863931098586
1.2	319.0	0.000398	0.44071802284525124
1.2	319.0	0.0013	0.36130437064019666
1.2	319.0	0.005	0.2822113579175189
1.5	319.0	1.85e-05	0.6929158319554105
1.5	319.0	2.2e-05	0.7088281596979794
1.5	301.0	3.2e-05	0.7012940789524577
1.5	319.0	3.2e-05	0.7091524921433934
1.5	319.0	5e-05	0.6809008394728205
1.5	319.0	8e-05	0.6407608390130964
1.5	319.0	0.00013000000000000002	0.5969830427928202
1.5	319.0	0.0002	0.5584886259655757
1.5	319.0	0.00032	0.5176823210638386
1.5	319.0	0.0005	0.48040773283007454
1.5	319.0	0.0008	0.4428438602156662
1.5	319.0	0.001	0.4256538896942641
1.5	301.0	0.0032	0.34287390047876093
1.5	319.0	0.013	0.2586189917524877
2.0	319.0	2.47e-05	0.7928232872675629
2.0	319.0	2.93e-05	0.8104514681744247
2.0	301.0	3.27e-05	0.7962990550452803
2.0	301.0	5e-05	0.7922072044704227
2.0	319.0	5e-05	0.7983096126866368
2.0	319.0	8e-05	0.7541399909234825
2.0	319.0	0.00013000000000000002	0.7013499081140456
2.0	319.0	0.0002	0.6540621044770818
2.0	319.0	0.00032	0.603868297200006
2.0	319.0	0.0005	0.5581658759119673
2.0	319.0	0.001	0.4914919853687431
2.0	319.0	0.0032	0.39190255054736267
2.0	301.0	0.013	0.2922425603772991
2.7	319.0	3.09e-05	0.8841367213149542
2.7	319.0	3.66e-05	0.9114874436657905
2.7	301.0	4.09e-05	0.8942678734002903
2.7	301.0	5e-05	0.9047905044333799
2.7	319.0	5e-05	0.9201775552554656
2.7	301.0	8e-05	0.8767676794121042
2.7	319.0	8e-05	0.8812646619142045
2.7	319.0	0.00013000000000000002	0.8202937888071348
2.7	319.0	0.0002	0.7630572451303655
2.7	319.0	0.00032	0.7017806803837958
2.7	319.0	0.0005	0.646073545401222
2.7	319.0	0.0008	0.5905062651188789
2.7	319.0	0.0013	0.5366150228286881
2.7	319.0	0.002	0.49181992574902983
2.7	319.0	0.005	0.4057784237929396
2.7	319.0	0.02	0.29831976575504643
3.5	319.0	4.320000000000001e-05	0.9893876545078726
3.5	319.0	5.12e-05	1.0091883069294767
3.5	301.0	5.73e-05	0.9891202817952904
3.5	301.0	8e-05	0.9834054305215887
3.5	319.0	8e-05	0.9931998511256837
3.5	319.0	0.00013000000000000002	0.9297432463346181
3.5	319.0	0.0002	0.8641191871753106
3.5	319.0	0.00032	0.7924856444112758
3.5	319.0	0.0005	0.727214649322571
3.5	319.0	0.0008	0.6623263943071981
3.5	319.0	0.0013	0.599679780173839
3.5	319.0	0.002	0.5478652257879694
3.5	319.0	0.008	0.4042718592381679
4.5	319.0	6.18e-05	1.0888606123453661
4.5	319.0	7.32e-05	1.0961136303920493
4.5	301.0	8.18e-05	1.0730767266275347
4.5	301.0	0.00013000000000000002	1.0329551160330912
4.5	319.0	0.00013000000000000002	1.0386444227588103
4.5	319.0	0.0002	0.9667757428105882
4.5	319.0	0.00032	0.8850152599802259
4.5	319.0	0.0005	0.8099701806826541
4.5	319.0	0.0008	0.7352836544562523
4.5	319.0	0.0013	0.6635200001037846
4.5	319.0	0.002	0.6044151234907055
4.5	319.0	0.0032	0.5447546053554496
4.5	319.0	0.013	0.3946523211582247
6.5	319.0	8.03e-05	1.1878632875781618
6.5	301.0	9.51e-05	1.1694148385374181
6.5	319.0	9.51e-05	1.2061969348390476
6.5	301.0	0.00013000000000000002	1.1748414753509235
6.5	319.0	0.00013000000000000002	1.191298248390321
6.5	301.0	0.0002	1.1165963711202425
6.5	319.0	0.0002	1.121813761852767
6.5	319.0	0.00032	1.0274575159163748
6.5	319.0	0.0005	0.9374945618390396
6.5	319.0	0.0008	0.8475746061731536
6.5	319.0	0.0013	0.7613968978463426
6.5	319.0	0.002	0.6908587355728963
6.5	319.0	0.0032	0.6200990019581681
6.5	319.0	0.005	0.558624707338841
6.5	319.0	0.013	0.44428385886076377
6.5	319.0	0.02	0.39978370011492853
8.5	319.0	0.000105	1.2606742333494332
8.5	319.0	0.000124	1.2766279414997614
8.5	301.0	0.000139	1.2457273037545793
8.5	301.0	0.0002	1.2184168607310406
8.5	319.0	0.0002	1.2295276469844114
8.5	319.0	0.00032	1.1344284720414235
8.5	319.0	0.0005	1.0344697461072518
8.5	319.0	0.0008	0.9331025093569805
8.5	319.0	0.0013	0.8358611675455754
8.5	319.0	0.002	0.7564878019438661
8.5	319.0	0.0032	0.6771632933052815
8.5	319.0	0.005	0.6085374727881101
8.5	319.0	0.02	0.4325753151780013
10.0	301.0	0.00013000000000000002	1.2563425108884927
10.0	301.0	0.0002	1.2746417739707765
10.0	319.0	0.00032	1.1982908972590842
10.0	319.0	0.0005	1.0936078755357705
10.0	319.0	0.0008	0.9855809657268394
10.0	319.0	0.0013	0.8816011314549792
10.0	319.0	0.002	0.7963759003101721
10.0	319.0	0.005	0.6388991564587695
10.0	319.0	0.02	0.45238003217375755
12.0	301.0	0.000161	1.3017936017681646
12.0	301.0	0.0002	1.320721032944864
12.0	319.0	0.0002	1.3496246830347303
12.0	301.0	0.00032	1.2607500772756841
12.0	319.0	0.00032	1.2688990921534369
12.0	319.0	0.0005	1.1612334193983447
12.0	319.0	0.0008	1.0459740249751703
12.0	319.0	0.0013	0.9343966464969212
12.0	319.0	0.002	0.843298436053654
12.0	319.0	0.0032	0.7525179271520175
12.0	319.0	0.005	0.6743936407992756
12.0	319.0	0.02	0.4758800616162023
15.0	301.0	0.0002	1.340135376897679
15.0	301.0	0.000246	1.3581019003083852
15.0	301.0	0.00032	1.332992876703363
15.0	319.0	0.00032	1.3480110540870105
15.0	319.0	0.0005	1.2428777752414877
15.0	319.0	0.0008	1.1200501779084446
15.0	319.0	0.0013	0.9998508990305544
15.0	319.0	0.002	0.9006481699644306
15.0	319.0	0.0032	0.8027379724114047
15.0	319.0	0.005	0.7182430224702948
15.0	319.0	0.008	0.6375855750585432
15.0	319.0	0.02	0.5041437757603126
18.0	301.0	0.000268	1.3794142645845944
18.0	301.0	0.000328	1.375387382187853
18.0	301.0	0.0005	1.296615204830957
18.0	319.0	0.0005	1.3038496483361535
18.0	319.0	0.0008	1.1805746575612057
18.0	319.0	0.0013	1.0525735242723433
18.0	319.0	0.002	0.9480987988335425
18.0	319.0	0.0032	0.8424130486117936
18.0	319.0	0.005	0.7521757869631656
18.0	319.0	0.008	0.6683020750822976
18.0	319.0	0.02	0.5277886640108914
22.0	301.0	0.0005	1.3565711750160991
22.0	319.0	0.0008	1.2444000089053795
22.0	319.0	0.0013	1.110720317305505
22.0	319.0	0.002	0.9993847227036707
22.0	319.0	0.0032	0.8867251558734576
22.0	319.0	0.005	0.7917120397818705
22.0	319.0	0.008	0.7027415923428671
22.0	319.0	0.013	0.6194694451688526
22.0	319.0	0.032	0.4887065164716921
27.0	301.0	0.000335	1.3911691532873787
27.0	301.0	0.00041	1.4127468076946994
27.0	301.0	0.0005	1.3991756301957579
27.0	319.0	0.0005	1.4202204742954434
27.0	301.0	0.0008	1.299499481515347
27.0	319.0	0.0008	1.3053723681394322
27.0	319.0	0.0013	1.1676259761770271
27.0	319.0	0.002	1.0504018723686106
27.0	319.0	0.0032	0.9328838187843639
27.0	319.0	0.005	0.832023728657126
27.0	319.0	0.008	0.7365434492907565
27.0	319.0	0.013	0.6479335777930881
27.0	319.0	0.02	0.5782711822460148
27.0	319.0	0.032	0.5102905535671798
35.0	301.0	0.0005740000000000001	1.4156534220806292
35.0	301.0	0.0008	1.3582732615714836
35.0	319.0	0.0008	1.3696332744552493
35.0	319.0	0.0013	1.2327952437851604
35.0	319.0	0.002	1.1121640928571277
35.0	319.0	0.0032	0.9871743709228664
35.0	319.0	0.005	0.8796084285028003
35.0	319.0	0.008	0.7778026348154041
35.0	319.0	0.013	0.6841545682318623
35.0	319.0	0.02	0.6099998990100434
35.0	319.0	0.032	0.5377330278271321
35.0	319.0	0.08	0.41898912139401256
45.0	301.0	0.0008	1.3992759170181652
45.0	319.0	0.0008	1.4204818371483785
45.0	301.0	0.0013	1.2858445650569157
45.0	319.0	0.0013	1.2914566224436446
45.0	319.0	0.002	1.1683061941347472
45.0	319.0	0.0032	1.0372432867181556
45.0	319.0	0.005	0.9236028158702755
45.0	319.0	0.008	0.8160035196586941
45.0	319.0	0.013	0.7170589669464826
45.0	319.0	0.02	0.6387852387217865
45.0	319.0	0.032	0.5619931866372371
45.0	319.0	0.05	0.49776462123363235
