	qsq2	cme	x	sig	err
0	0.15	318.0	5.02e-06	0.185	3.79
1	0.2	318.0	6.69e-06	0.227	1.7
2	0.2	318.0	8.49e-06	0.223	2.19
3	0.2	318.0	1.1e-05	0.208	2.83
4	0.2	318.0	3.98e-05	0.211	14.93
5	0.2	318.0	0.000251	0.18	13.49
6	0.25	318.0	8.36e-06	0.265	1.92
7	0.25	318.0	1.06e-05	0.26	1.84
8	0.25	318.0	1.3800000000000003e-05	0.249	1.85
9	0.25	318.0	2.3e-05	0.243	2.37
10	0.25	318.0	3.98e-05	0.236	3.32
11	0.25	318.0	0.00011	0.199	3.96
12	0.25	318.0	0.000251	0.196	3.75
13	0.25	318.0	0.000394	0.194	4.16
14	0.25	318.0	0.00158	0.198	11.0
15	0.35	318.0	5.12e-06	0.436	22.08
16	0.35	318.0	1e-05	0.345	1.8
17	0.35	318.0	1.27e-05	0.324	1.86
18	0.35	318.0	1.65e-05	0.313	1.88
19	0.35	318.0	3.2e-05	0.29600000000000004	2.55
20	0.35	318.0	6.620000000000001e-05	0.282	2.62
21	0.35	318.0	0.00013000000000000002	0.257	2.53
22	0.35	318.0	0.00022	0.24	2.67
23	0.35	318.0	0.0005	0.24	2.52
24	0.35	318.0	0.00251	0.201	10.0
25	0.4	318.0	1.33e-05	0.355	2.04
26	0.4	318.0	1.7e-05	0.354	1.87
27	0.4	318.0	2.2e-05	0.334	1.86
28	0.4	318.0	3.68e-05	0.33	2.58
29	0.4	318.0	8.83e-05	0.32	2.72
30	0.4	318.0	0.000176	0.287	2.79
31	0.4	318.0	0.000294	0.277	2.75
32	0.4	318.0	0.0006309999999999999	0.26	2.74
33	0.5	318.0	7.32e-06	0.428	5.74
34	0.5	318.0	1.58e-05	0.426	3.53
35	0.5	318.0	2.12e-05	0.39	2.06
36	0.5	318.0	2.7600000000000007e-05	0.377	2.0
37	0.5	318.0	3.98e-05	0.364	2.64
38	0.5	318.0	0.0001	0.348	1.74
39	0.5	318.0	0.000251	0.308	1.87
40	0.5	318.0	0.000368	0.3	2.03
41	0.5	318.0	0.0008	0.287	2.05
42	0.5	318.0	0.0032	0.182	11.38
43	0.65	318.0	9.52e-06	0.464	4.02
44	0.65	318.0	1.58e-05	0.462	5.44
45	0.65	318.0	3.98e-05	0.472	2.73
46	0.65	318.0	5.98e-05	0.416	3.16
47	0.65	318.0	0.0001	0.409	2.09
48	0.65	318.0	0.000251	0.361	2.14
49	0.65	318.0	0.000478	0.332	2.29
50	0.65	318.0	0.0008	0.318	2.14
51	0.65	318.0	0.0032	0.224	5.82
52	0.85	318.0	1.24e-05	0.552	2.57
53	0.85	318.0	2e-05	0.611	5.36
54	0.85	318.0	3.98e-05	0.5579999999999999	2.03
55	0.85	318.0	5e-05	0.541	4.52
56	0.85	318.0	0.0001	0.503	3.78
57	0.85	318.0	0.000251	0.397	6.01
58	0.85	318.0	0.0008	0.349	4.61
59	0.85	318.0	0.0032	0.308	4.54
60	1.2	318.0	1.76e-05	0.5920000000000001	2.56
61	1.2	318.0	2e-05	0.667	2.63
62	1.2	318.0	3.2e-05	0.685	2.73
63	1.2	318.0	6.31e-05	0.649	1.47
64	1.2	318.0	8e-05	0.595	2.05
65	1.2	318.0	0.00013000000000000002	0.5429999999999999	4.97
66	1.2	318.0	0.00015800000000000002	0.5329999999999999	1.54
67	1.2	318.0	0.000398	0.493	3.36
68	1.2	318.0	0.0013	0.3720000000000001	3.55
69	1.2	318.0	0.005	0.298	4.51
70	1.5	318.0	1.85e-05	0.619	7.49
71	1.5	318.0	2.2e-05	0.696	1.94
72	1.5	318.0	3.2e-05	0.753	2.15
73	1.5	318.0	5e-05	0.76	1.98
74	1.5	318.0	8e-05	0.6990000000000001	2.15
75	1.5	318.0	0.00013000000000000002	0.6459999999999999	2.43
76	1.5	318.0	0.0002	0.612	2.86
77	1.5	318.0	0.00032	0.5770000000000001	2.26
78	1.5	318.0	0.0005	0.547	7.05
79	1.5	318.0	0.0008	0.49	2.47
80	1.5	318.0	0.001	0.462	5.22
81	1.5	318.0	0.0032	0.41	2.31
82	2.0	318.0	2.47e-05	0.7809999999999999	5.29
83	2.0	318.0	2.93e-05	0.7879999999999999	1.65
84	2.0	318.0	5e-05	0.823	1.93
85	2.0	318.0	8e-05	0.762	1.34
86	2.0	318.0	0.00013000000000000002	0.723	1.3
87	2.0	318.0	0.0002	0.679	1.32
88	2.0	318.0	0.00032	0.627	1.65
89	2.0	318.0	0.0005	0.575	2.04
90	2.0	318.0	0.001	0.51	1.79
91	2.0	318.0	0.0032	0.426	1.89
92	2.7	318.0	3.09e-05	0.845	3.17
93	2.7	318.0	3.66e-05	0.866	1.99
94	2.7	318.0	4.09e-05	0.937	6.84
95	2.7	318.0	5e-05	0.883	1.65
96	2.7	318.0	8e-05	0.889	1.03
97	2.7	318.0	0.00013000000000000002	0.805	0.87
98	2.7	318.0	0.0002	0.7809999999999999	1.61
99	2.7	318.0	0.00032	0.7	1.27
100	2.7	318.0	0.0005	0.645	1.35
101	2.7	318.0	0.0008	0.594	1.84
102	2.7	318.0	0.0013	0.5670000000000001	1.63
103	2.7	318.0	0.002	0.481	2.74
104	2.7	318.0	0.005	0.453	1.82
105	3.5	318.0	4.06e-05	0.8059999999999999	6.14
106	3.5	318.0	4.320000000000001e-05	0.8809999999999999	4.07
107	3.5	318.0	4.6e-05	0.965	3.05
108	3.5	318.0	5.12e-05	0.94	2.25
109	3.5	318.0	5.31e-05	0.88	3.1
110	3.5	318.0	8e-05	0.952	1.55
111	3.5	318.0	0.00013000000000000002	0.918	0.86
112	3.5	318.0	0.0002	0.8540000000000001	0.83
113	3.5	318.0	0.00032	0.7909999999999999	0.88
114	3.5	318.0	0.0005	0.7490000000000001	1.17
115	3.5	318.0	0.0008	0.659	1.16
116	3.5	318.0	0.0013	0.623	1.38
117	3.5	318.0	0.002	0.568	0.87
118	3.5	318.0	0.008	0.462	1.12
119	4.5	318.0	5.22e-05	0.916	6.4
120	4.5	318.0	5.920000000000001e-05	0.971	2.87
121	4.5	318.0	6.18e-05	0.97	3.82
122	4.5	318.0	6.829999999999999e-05	1.08	2.23
123	4.5	318.0	7.32e-05	1.019	2.21
124	4.5	318.0	8.18e-05	1.08	11.67
125	4.5	318.0	0.00013000000000000002	1.02	1.2
126	4.5	318.0	0.0002	0.961	0.91
127	4.5	318.0	0.00032	0.893	0.96
128	4.5	318.0	0.0005	0.797	0.89
129	4.5	318.0	0.0008	0.72	1.29
130	4.5	318.0	0.0013	0.665	1.31
131	4.5	318.0	0.002	0.615	1.31
132	4.5	318.0	0.0032	0.5720000000000001	1.23
133	6.5	318.0	7.54e-05	1.117	6.27
134	6.5	318.0	8.03e-05	1.085	3.1
135	6.5	318.0	8.55e-05	1.097	2.61
136	6.5	318.0	9.51e-05	1.084	2.62
137	6.5	318.0	9.86e-05	1.177	2.19
138	6.5	318.0	0.00013000000000000002	1.113	1.37
139	6.5	318.0	0.0002	1.112	0.93
140	6.5	318.0	0.00032	1.001	0.79
141	6.5	318.0	0.0005	0.933	1.16
142	6.5	318.0	0.0008	0.8490000000000001	0.85
143	6.5	318.0	0.0013	0.758	1.08
144	6.5	318.0	0.002	0.695	0.87
145	6.5	318.0	0.0032	0.6409999999999999	1.21
146	6.5	318.0	0.005	0.579	0.97
147	8.5	318.0	9.86e-05	1.161	2.99
148	8.5	318.0	0.000105	1.183	3.72
149	8.5	318.0	0.000112	1.18	2.48
150	8.5	318.0	0.000124	1.259	1.95
151	8.5	318.0	0.000129	1.232	1.92
152	8.5	318.0	0.000139	1.257	4.77
153	8.5	318.0	0.0002	1.195	1.29
154	8.5	318.0	0.00032	1.107	0.75
155	8.5	318.0	0.0005	1.014	0.93
156	8.5	318.0	0.0008	0.931	0.88
