# charged hadron production
# initial saturation scale: 0.4 GeV^2 (for gold nucleus)
# beginning of small-x evolution: 0.01
s	y	pt	dN
200.0	3.2	1.0	0.9243619245951968
200.0	3.2	1.25	0.5040199517717744
200.0	3.2	1.5	0.21966898565565363
200.0	3.2	1.75	0.100513657051665
200.0	3.2	2.0	0.04831427985332121
200.0	3.2	2.25	0.024323138554065437
200.0	3.2	2.5	0.01257897340925844
200.0	3.2	2.75	0.006692143615891893
200.0	3.2	3.0	0.003619312344588385
200.0	3.2	3.3333	0.0016079482535083084
200.0	3.2	3.6666	0.0007101885675665835
200.0	3.2	4.0	0.00031157836330510547
200.0	3.2	4.2	0.00018803794259542928
200.0	3.2	4.466666666666667	9.411827235247015e-05
200.0	3.2	4.733333333333333	4.5941499309046975e-05
