# neutral pion production
# initial saturation scale: 0.2 GeV^2
# beginning of small-x evolution: x = 0.01
s	y	pt	dN
200.0	3.3	1.0	0.6611365861164982
200.0	3.3	1.5	0.13169595490137082
200.0	3.3	2.0	0.02420865243408845
200.0	3.3	2.5	0.005243951416148583
200.0	3.3	3.0	0.0012310309793330937
200.0	3.3	3.45	0.00033795041643805266
200.0	3.3	3.8	0.00012146539740569902
200.0	3.3	4.15	4.2206566466084836e-05
200.0	3.8	1.0	0.19547666944360706
200.0	3.8	1.33333	0.04936660477811607
200.0	3.8	1.66666	0.010009231743784062
200.0	3.8	1.99999	0.0021302356896820748
200.0	3.8	2.33333	0.00043527936451671055
200.0	3.8	2.66666	7.950508084223958e-05
200.0	3.8	2.7	6.65124975152139e-05
200.0	3.8	2.78333	4.225439108697578e-05
200.0	3.8	2.86666	2.6527551389030082e-05
200.0	3.8	2.95000	1.6433621318147603e-05
200.0	3.8	3.03333	1.0034512396801007e-05
200.0	3.8	3.11666	6.0314583448947e-06
200.0	4.0	1.0	0.10684028368214912
200.0	4.0	1.25	0.03468780346966973
200.0	4.0	1.5	0.008657921386237704
200.0	4.0	1.75	0.0021149095865719623
200.0	4.0	2.0	0.0004862398971075368
200.0	4.0	2.25	9.868235700248904e-05
