cme	y	pt	dN
200.0	2.2	1.0	0.026635414050565714
200.0	2.2	1.5	0.007392237350230343
200.0	2.2	2.0	0.004645609429386001
200.0	2.2	2.5	0.002790160535785784
200.0	2.2	3.0	0.0013397911571785426
200.0	2.2	3.5	0.0006082001390243586
200.0	2.2	4.0	0.00028216623918989953
200.0	2.2	4.5	0.00012090872705865051
200.0	3.2	1.0	0.0331536718050595
200.0	3.2	1.5	0.0022655553040409697
200.0	3.2	2.0	0.00021901997389366256
200.0	3.2	2.5	8.164404850554708e-05
200.0	3.2	3.0	2.0267954622268978e-05
200.0	3.2	3.5	5.0845221485447486e-06
200.0	3.2	4.0	1.5636307208837552e-06
200.0	3.2	4.5	4.653172620151392e-07
