cme	y	pt	dN
200.0	3.3	1.0	0.027920592500009177
200.0	3.3	1.5	0.001257877966645536
200.0	3.3	2.0	-3.20645589741151e-05
200.0	3.3	2.5	1.062492933558688e-05
200.0	3.3	3.0	8.950914464244937e-06
200.0	3.3	3.5	2.468854013951367e-06
200.0	3.3	4.0	3.9724118179684346e-07
200.0	3.3	4.5	-3.2648782485541725e-08
200.0	3.8	1.0	0.01704786908981314
200.0	3.8	1.5	0.0009119574824758964
200.0	3.8	2.0	5.410818137388588e-05
200.0	3.8	2.5	3.6628411580287092e-06
200.0	3.8	3.0	1.8717400049457632e-07
200.0	3.8	3.5	3.0477728550870278e-09
200.0	3.8	4.0	2.1803281957453774e-11
200.0	4.0	1.0	0.012080905144599913
200.0	4.0	1.5	0.0004958584550452873
200.0	4.0	2.0	1.656430067329226e-05
200.0	4.0	2.5	3.3288122544592806e-07
200.0	4.0	3.0	1.2524785105963075e-09
200.0	4.0	3.5	7.593064106611954e-13
